AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-02-18,67001,ALBA ADRIATICA,TE,382,3195
2021-02-18,67002,ANCARANO,TE,118,432
2021-02-18,67003,ARSITA,TE,54,353
2021-02-18,67004,ATRI,TE,657,7146
2021-02-18,67005,BASCIANO,TE,191,1257
2021-02-18,67006,BELLANTE,TE,386,2850
2021-02-18,67007,BISENTI,TE,138,1011
2021-02-18,67008,CAMPLI,TE,414,3366
2021-02-18,67009,CANZANO,TE,117,806
2021-02-18,67010,CASTEL CASTAGNA,TE,51,168
2021-02-18,67011,CASTELLALTO,TE,534,3643
2021-02-18,67012,CASTELLI,TE,84,458
2021-02-18,67013,CASTIGLIONE MESSER RAIMONDO,TE,123,1227
2021-02-18,67014,CASTILENTI,TE,144,884
2021-02-18,67015,CELLINO ATTANASIO,TE,199,955
2021-02-18,67016,CERMIGNANO,TE,206,897
2021-02-18,67017,CIVITELLA DEL TRONTO,TE,424,2152
2021-02-18,67018,COLLEDARA,TE,123,887
2021-02-18,67019,COLONNELLA,TE,210,770
2021-02-18,67020,CONTROGUERRA,TE,88,610
2021-02-18,67021,CORROPOLI,TE,166,1446
2021-02-18,67022,CORTINO,TE,40,264
2021-02-18,67023,CROGNALETO,TE,207,913
2021-02-18,67024,FANO ADRIANO,TE,11,114
2021-02-18,67025,GIULIANOVA,TE,1526,11298
2021-02-18,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,461,2598
2021-02-18,67047,MARTINSICURO,TE,756,3556
2021-02-18,67027,MONTEFINO,TE,72,482
2021-02-18,67028,MONTORIO AL VOMANO,TE,967,5172
2021-02-18,67029,MORRO D'ORO,TE,254,1308
2021-02-18,67030,MOSCIANO SANT'ANGELO,TE,486,3568
2021-02-18,67031,NERETO,TE,233,2290
2021-02-18,67032,NOTARESCO,TE,381,2483
2021-02-18,67033,PENNA SANT'ANDREA,TE,93,736
2021-02-18,67034,PIETRACAMELA,TE,3,74
2021-02-18,67035,PINETO,TE,772,5974
2021-02-18,67036,ROCCA SANTA MARIA,TE,57,386
2021-02-18,67037,ROSETO DEGLI ABRUZZI,TE,1095,8170
2021-02-18,67038,SANT'EGIDIO ALLA VIBRATA,TE,380,2511
2021-02-18,67039,SANT'OMERO,TE,231,2509
2021-02-18,67040,SILVI,TE,701,5037
2021-02-18,67041,TERAMO,TE,3360,39399
2021-02-18,67042,TORANO NUOVO,TE,74,549
2021-02-18,67043,TORRICELLA SICURA,TE,191,1683
2021-02-18,67044,TORTORETO,TE,417,3440
2021-02-18,67045,TOSSICIA,TE,104,659
2021-02-18,67046,VALLE CASTELLANA,TE,36,164
