AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-09-11,67001,ALBA ADRIATICA,TE,32,1044
2020-09-11,67003,ARSITA,TE,5,124
2020-09-11,67004,ATRI,TE,86,2714
2020-09-11,67005,BASCIANO,TE,3,306
2020-09-11,67006,BELLANTE,TE,10,834
2020-09-11,67007,BISENTI,TE,15,456
2020-09-11,67008,CAMPLI,TE,8,1079
2020-09-11,67009,CANZANO,TE,2,196
2020-09-11,67011,CASTELLALTO,TE,7,1042
2020-09-11,67012,CASTELLI,TE,2,101
2020-09-11,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,829
2020-09-11,67014,CASTILENTI,TE,62,534
2020-09-11,67015,CELLINO ATTANASIO,TE,16,304
2020-09-11,67016,CERMIGNANO,TE,10,226
2020-09-11,67017,CIVITELLA DEL TRONTO,TE,46,688
2020-09-11,67018,COLLEDARA,TE,1,234
2020-09-11,67019,COLONNELLA,TE,27,224
2020-09-11,67020,CONTROGUERRA,TE,5,236
2020-09-11,67021,CORROPOLI,TE,8,449
2020-09-11,67025,GIULIANOVA,TE,43,3758
2020-09-11,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,612
2020-09-11,67047,MARTINSICURO,TE,29,1131
2020-09-11,67027,MONTEFINO,TE,25,247
2020-09-11,67028,MONTORIO AL VOMANO,TE,9,1212
2020-09-11,67029,MORRO D'ORO,TE,1,358
2020-09-11,67030,MOSCIANO SANT'ANGELO,TE,4,1041
2020-09-11,67031,NERETO,TE,16,819
2020-09-11,67032,NOTARESCO,TE,17,787
2020-09-11,67033,PENNA SANT'ANDREA,TE,7,187
2020-09-11,67034,PIETRACAMELA,TE,1,28
2020-09-11,67035,PINETO,TE,67,2125
2020-09-11,67037,ROSETO DEGLI ABRUZZI,TE,30,2466
2020-09-11,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,755
2020-09-11,67039,SANT'OMERO,TE,4,975
2020-09-11,67040,SILVI,TE,20,1551
2020-09-11,67041,TERAMO,TE,199,12546
2020-09-11,67042,TORANO NUOVO,TE,2,156
2020-09-11,67043,TORRICELLA SICURA,TE,19,457
2020-09-11,67044,TORTORETO,TE,5,1057
2020-09-11,67045,TOSSICIA,TE,2,156
2020-09-11,67046,VALLE CASTELLANA,TE,3,39
2020-09-11,67002,ANCARANO,TE,0,145
2020-09-11,67010,CASTEL CASTAGNA,TE,0,45
2020-09-11,67022,CORTINO,TE,0,74
2020-09-11,67023,CROGNALETO,TE,0,149
2020-09-11,67024,FANO ADRIANO,TE,0,31
2020-09-11,67036,ROCCA SANTA MARIA,TE,0,44
