AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-09-22,67001,ALBA ADRIATICA,TE,33,1127
2020-09-22,67003,ARSITA,TE,5,127
2020-09-22,67004,ATRI,TE,87,2834
2020-09-22,67005,BASCIANO,TE,3,321
2020-09-22,67006,BELLANTE,TE,12,896
2020-09-22,67007,BISENTI,TE,15,481
2020-09-22,67008,CAMPLI,TE,8,1155
2020-09-22,67009,CANZANO,TE,2,204
2020-09-22,67011,CASTELLALTO,TE,11,1143
2020-09-22,67012,CASTELLI,TE,2,106
2020-09-22,67013,CASTIGLIONE MESSER RAIMONDO,TE,88,877
2020-09-22,67014,CASTILENTI,TE,62,550
2020-09-22,67015,CELLINO ATTANASIO,TE,16,321
2020-09-22,67016,CERMIGNANO,TE,11,242
2020-09-22,67017,CIVITELLA DEL TRONTO,TE,46,734
2020-09-22,67018,COLLEDARA,TE,1,243
2020-09-22,67019,COLONNELLA,TE,28,234
2020-09-22,67020,CONTROGUERRA,TE,5,245
2020-09-22,67021,CORROPOLI,TE,8,483
2020-09-22,67025,GIULIANOVA,TE,52,4007
2020-09-22,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,651
2020-09-22,67047,MARTINSICURO,TE,35,1205
2020-09-22,67027,MONTEFINO,TE,25,255
2020-09-22,67028,MONTORIO AL VOMANO,TE,9,1267
2020-09-22,67029,MORRO D'ORO,TE,1,382
2020-09-22,67030,MOSCIANO SANT'ANGELO,TE,8,1110
2020-09-22,67031,NERETO,TE,16,864
2020-09-22,67032,NOTARESCO,TE,17,859
2020-09-22,67033,PENNA SANT'ANDREA,TE,8,197
2020-09-22,67034,PIETRACAMELA,TE,1,32
2020-09-22,67035,PINETO,TE,69,2247
2020-09-22,67036,ROCCA SANTA MARIA,TE,6,89
2020-09-22,67037,ROSETO DEGLI ABRUZZI,TE,30,2625
2020-09-22,67038,SANT'EGIDIO ALLA VIBRATA,TE,13,800
2020-09-22,67039,SANT'OMERO,TE,4,1032
2020-09-22,67040,SILVI,TE,20,1627
2020-09-22,67041,TERAMO,TE,207,13302
2020-09-22,67042,TORANO NUOVO,TE,8,166
2020-09-22,67043,TORRICELLA SICURA,TE,19,491
2020-09-22,67044,TORTORETO,TE,8,1120
2020-09-22,67045,TOSSICIA,TE,2,163
2020-09-22,67046,VALLE CASTELLANA,TE,3,46
2020-09-22,67002,ANCARANO,TE,0,150
2020-09-22,67010,CASTEL CASTAGNA,TE,0,45
2020-09-22,67022,CORTINO,TE,0,78
2020-09-22,67023,CROGNALETO,TE,0,157
2020-09-22,67024,FANO ADRIANO,TE,0,33
