AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-05-31,2020-04-22,AQ,5,172,6
2020-05-31,2020-04-22,TE,7,382,8
2020-05-31,2020-04-23,AQ,2,117,5
2020-05-31,2020-04-23,CH,10,410,6
2020-05-31,2020-04-23,PE,1,74,1
2020-05-31,2020-04-23,TE,3,431,3
2020-05-31,2020-04-24,AQ,6,86,2
2020-05-31,2020-04-24,CH,3,118,3
2020-05-31,2020-04-24,TE,9,486,7
2020-05-31,2020-04-25,AQ,1,51,3
2020-05-31,2020-04-25,CH,3,183,1
2020-05-31,2020-04-25,TE,1,82,1
2020-05-31,2020-04-26,AQ,1,29,0
2020-05-31,2020-04-26,CH,5,108,2
2020-05-31,2020-04-26,PE,1,1,0
2020-05-31,2020-04-26,TE,3,27,0
2020-05-31,2020-04-27,AQ,4,85,5
2020-05-31,2020-04-27,CH,9,161,5
2020-05-31,2020-04-27,PE,2,58,0
2020-05-31,2020-04-27,TE,14,397,8
2020-05-31,2020-04-28,AQ,5,138,2
2020-05-31,2020-04-28,CH,3,136,2
2020-05-31,2020-04-28,PE,1,18,0
2020-05-31,2020-04-28,TE,4,519,3
2020-05-31,2020-04-29,AQ,7,180,4
2020-05-31,2020-04-29,CH,5,186,12
2020-05-31,2020-04-29,PE,2,28,0
2020-05-31,2020-04-29,TE,10,533,21
2020-05-31,2020-04-30,CH,2,197,4
2020-05-31,2020-04-30,PE,3,28,0
2020-05-31,2020-04-30,TE,7,386,2
2020-05-31,2020-05-01,AQ,1,26,0
2020-05-31,2020-05-01,CH,4,136,3
2020-05-31,2020-05-02,AQ,3,46,3
2020-05-31,2020-05-02,CH,1,224,2
2020-05-31,2020-05-02,TE,6,392,6
2020-05-31,2020-05-03,CH,2,47,5
2020-05-31,2020-05-03,PE,1,2,0
2020-05-31,2020-05-03,TE,2,31,0
2020-05-31,2020-05-04,AQ,4,122,1
2020-05-31,2020-05-04,CH,3,176,2
2020-05-31,2020-05-04,PE,2,30,0
2020-05-31,2020-05-04,TE,4,420,7
2020-05-31,2020-05-05,AQ,3,117,1
2020-05-31,2020-05-05,CH,2,83,4
2020-05-31,2020-05-05,TE,10,474,8
2020-05-31,2020-05-06,AQ,1,324,0
2020-05-31,2020-05-06,CH,4,176,8
2020-05-31,2020-05-06,PE,2,28,0
2020-05-31,2020-05-06,TE,4,482,8
2020-05-31,2020-05-07,AQ,1,515,2
2020-05-31,2020-05-07,CH,2,131,2
2020-05-31,2020-05-07,TE,5,578,2
2020-05-31,2020-05-08,AQ,3,795,0
2020-05-31,2020-05-08,CH,1,218,1
2020-05-31,2020-05-08,TE,2,515,6
2020-05-31,2020-05-09,CH,7,122,6
2020-05-31,2020-05-09,PE,1,65,0
2020-05-31,2020-05-09,TE,1,330,2
2020-05-31,2020-05-10,CH,3,91,9
2020-05-31,2020-05-11,AQ,6,774,2
2020-05-31,2020-05-11,CH,4,96,8
2020-05-31,2020-05-11,PE,1,46,0
2020-05-31,2020-05-12,AQ,2,636,1
2020-05-31,2020-05-12,CH,7,181,1
2020-05-31,2020-05-12,PE,1,68,0
2020-05-31,2020-05-12,TE,5,721,6
2020-05-31,2020-05-13,AQ,1,856,3
2020-05-31,2020-05-13,CH,7,108,4
2020-05-31,2020-05-13,TE,3,590,1
2020-05-31,2020-05-14,AQ,1,809,0
2020-05-31,2020-05-14,CH,21,198,5
2020-05-31,2020-05-14,PE,2,79,2
2020-05-31,2020-05-14,TE,9,860,3
2020-05-31,2020-05-15,AQ,1,459,0
2020-05-31,2020-05-15,TE,1,271,1
2020-05-31,2020-05-16,CH,8,216,2
2020-05-31,2020-05-16,TE,2,355,2
2020-05-31,2020-05-17,CH,2,37,3
2020-05-31,2020-05-17,TE,1,29,0
2020-05-31,2020-05-18,CH,4,180,1
