AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-06-05,67001,ALBA ADRIATICA,TE,20,474
2020-06-05,67003,ARSITA,TE,5,99
2020-06-05,67004,ATRI,TE,86,1565
2020-06-05,67005,BASCIANO,TE,3,147
2020-06-05,67006,BELLANTE,TE,10,417
2020-06-05,67007,BISENTI,TE,15,292
2020-06-05,67008,CAMPLI,TE,8,522
2020-06-05,67009,CANZANO,TE,2,88
2020-06-05,67011,CASTELLALTO,TE,6,483
2020-06-05,67012,CASTELLI,TE,2,53
2020-06-05,67013,CASTIGLIONE MESSER RAIMONDO,TE,84,726
2020-06-05,67014,CASTILENTI,TE,62,445
2020-06-05,67015,CELLINO ATTANASIO,TE,13,155
2020-06-05,67016,CERMIGNANO,TE,10,111
2020-06-05,67017,CIVITELLA DEL TRONTO,TE,1,305
2020-06-05,67018,COLLEDARA,TE,1,125
2020-06-05,67019,COLONNELLA,TE,19,97
2020-06-05,67021,CORROPOLI,TE,1,201
2020-06-05,67025,GIULIANOVA,TE,31,1839
2020-06-05,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,371
2020-06-05,67047,MARTINSICURO,TE,10,452
2020-06-05,67027,MONTEFINO,TE,25,192
2020-06-05,67028,MONTORIO AL VOMANO,TE,9,625
2020-06-05,67029,MORRO D'ORO,TE,1,169
2020-06-05,67030,MOSCIANO SANT'ANGELO,TE,3,500
2020-06-05,67031,NERETO,TE,8,455
2020-06-05,67032,NOTARESCO,TE,14,395
2020-06-05,67033,PENNA SANT'ANDREA,TE,7,91
2020-06-05,67035,PINETO,TE,60,1262
2020-06-05,67037,ROSETO DEGLI ABRUZZI,TE,29,1206
2020-06-05,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,366
2020-06-05,67039,SANT'OMERO,TE,1,495
2020-06-05,67040,SILVI,TE,16,765
2020-06-05,67041,TERAMO,TE,185,6752
2020-06-05,67043,TORRICELLA SICURA,TE,19,260
2020-06-05,67044,TORTORETO,TE,2,551
2020-06-05,67045,TOSSICIA,TE,2,77
2020-06-05,67046,VALLE CASTELLANA,TE,3,32
2020-06-05,67002,ANCARANO,TE,0,74
2020-06-05,67010,CASTEL CASTAGNA,TE,0,24
2020-06-05,67020,CONTROGUERRA,TE,0,81
2020-06-05,67022,CORTINO,TE,0,37
2020-06-05,67023,CROGNALETO,TE,0,55
2020-06-05,67024,FANO ADRIANO,TE,0,10
2020-06-05,67034,PIETRACAMELA,TE,0,15
2020-06-05,67036,ROCCA SANTA MARIA,TE,0,27
2020-06-05,67042,TORANO NUOVO,TE,0,60
