AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-08-24,67001,ALBA ADRIATICA,TE,27,896
2020-08-24,67003,ARSITA,TE,5,115
2020-08-24,67004,ATRI,TE,86,2465
2020-08-24,67005,BASCIANO,TE,3,263
2020-08-24,67006,BELLANTE,TE,10,748
2020-08-24,67007,BISENTI,TE,15,429
2020-08-24,67008,CAMPLI,TE,8,940
2020-08-24,67009,CANZANO,TE,2,161
2020-08-24,67011,CASTELLALTO,TE,6,908
2020-08-24,67012,CASTELLI,TE,2,94
2020-08-24,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,814
2020-08-24,67014,CASTILENTI,TE,62,514
2020-08-24,67015,CELLINO ATTANASIO,TE,16,281
2020-08-24,67016,CERMIGNANO,TE,10,200
2020-08-24,67017,CIVITELLA DEL TRONTO,TE,34,569
2020-08-24,67018,COLLEDARA,TE,1,204
2020-08-24,67019,COLONNELLA,TE,27,197
2020-08-24,67020,CONTROGUERRA,TE,5,213
2020-08-24,67021,CORROPOLI,TE,4,374
2020-08-24,67025,GIULIANOVA,TE,36,3416
2020-08-24,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,565
2020-08-24,67047,MARTINSICURO,TE,24,1002
2020-08-24,67027,MONTEFINO,TE,25,239
2020-08-24,67028,MONTORIO AL VOMANO,TE,9,1069
2020-08-24,67029,MORRO D'ORO,TE,1,316
2020-08-24,67030,MOSCIANO SANT'ANGELO,TE,3,941
2020-08-24,67031,NERETO,TE,13,725
2020-08-24,67032,NOTARESCO,TE,14,664
2020-08-24,67033,PENNA SANT'ANDREA,TE,7,165
2020-08-24,67034,PIETRACAMELA,TE,1,24
2020-08-24,67035,PINETO,TE,63,1910
2020-08-24,67037,ROSETO DEGLI ABRUZZI,TE,30,2203
2020-08-24,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,657
2020-08-24,67039,SANT'OMERO,TE,2,860
2020-08-24,67040,SILVI,TE,18,1387
2020-08-24,67041,TERAMO,TE,197,11107
2020-08-24,67042,TORANO NUOVO,TE,2,132
2020-08-24,67043,TORRICELLA SICURA,TE,19,410
2020-08-24,67044,TORTORETO,TE,4,955
2020-08-24,67045,TOSSICIA,TE,2,137
2020-08-24,67046,VALLE CASTELLANA,TE,3,39
2020-08-24,67002,ANCARANO,TE,0,134
2020-08-24,67010,CASTEL CASTAGNA,TE,0,38
2020-08-24,67022,CORTINO,TE,0,64
2020-08-24,67023,CROGNALETO,TE,0,129
2020-08-24,67024,FANO ADRIANO,TE,0,23
2020-08-24,67036,ROCCA SANTA MARIA,TE,0,42
