AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-04-28,67001,ALBA ADRIATICA,TE,12,168
2020-04-28,67003,ARSITA,TE,5,51
2020-04-28,67004,ATRI,TE,78,876
2020-04-28,67005,BASCIANO,TE,3,73
2020-04-28,67006,BELLANTE,TE,6,164
2020-04-28,67007,BISENTI,TE,13,160
2020-04-28,67008,CAMPLI,TE,8,203
2020-04-28,67009,CANZANO,TE,2,37
2020-04-28,67011,CASTELLALTO,TE,5,169
2020-04-28,67012,CASTELLI,TE,2,9
2020-04-28,67013,CASTIGLIONE MESSER RAIMONDO,TE,79,450
2020-04-28,67014,CASTILENTI,TE,52,307
2020-04-28,67015,CELLINO ATTANASIO,TE,16,78
2020-04-28,67016,CERMIGNANO,TE,11,41
2020-04-28,67017,CIVITELLA DEL TRONTO,TE,1,127
2020-04-28,67018,COLLEDARA,TE,1,46
2020-04-28,67019,COLONNELLA,TE,12,33
2020-04-28,67021,CORROPOLI,TE,1,74
2020-04-28,67025,GIULIANOVA,TE,27,834
2020-04-28,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,6,159
2020-04-28,67047,MARTINSICURO,TE,7,142
2020-04-28,67027,MONTEFINO,TE,20,112
2020-04-28,67028,MONTORIO AL VOMANO,TE,9,255
2020-04-28,67029,MORRO D'ORO,TE,1,44
2020-04-28,67030,MOSCIANO SANT'ANGELO,TE,4,188
2020-04-28,67031,NERETO,TE,7,149
2020-04-28,67032,NOTARESCO,TE,16,153
2020-04-28,67033,PENNA SANT'ANDREA,TE,5,39
2020-04-28,67035,PINETO,TE,52,632
2020-04-28,67037,ROSETO DEGLI ABRUZZI,TE,27,438
2020-04-28,67038,SANT'EGIDIO ALLA VIBRATA,TE,7,138
2020-04-28,67039,SANT'OMERO,TE,1,184
2020-04-28,67040,SILVI,TE,15,299
2020-04-28,67041,TERAMO,TE,168,3174
2020-04-28,67043,TORRICELLA SICURA,TE,12,114
2020-04-28,67044,TORTORETO,TE,1,191
2020-04-28,67045,TOSSICIA,TE,2,22
2020-04-28,67046,VALLE CASTELLANA,TE,3,16
2020-04-28,67002,ANCARANO,TE,0,17
2020-04-28,67010,CASTEL CASTAGNA,TE,0,10
2020-04-28,67020,CONTROGUERRA,TE,0,25
2020-04-28,67022,CORTINO,TE,0,14
2020-04-28,67023,CROGNALETO,TE,0,16
2020-04-28,67024,FANO ADRIANO,TE,0,4
2020-04-28,67034,PIETRACAMELA,TE,0,5
2020-04-28,67036,ROCCA SANTA MARIA,TE,0,8
2020-04-28,67042,TORANO NUOVO,TE,0,27
