AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-05-07,67001,ALBA ADRIATICA,TE,710,5192
2021-05-07,67002,ANCARANO,TE,158,686
2021-05-07,67003,ARSITA,TE,65,412
2021-05-07,67004,ATRI,TE,791,8517
2021-05-07,67005,BASCIANO,TE,256,1606
2021-05-07,67006,BELLANTE,TE,524,3890
2021-05-07,67007,BISENTI,TE,174,1169
2021-05-07,67008,CAMPLI,TE,654,4567
2021-05-07,67009,CANZANO,TE,171,1230
2021-05-07,67010,CASTEL CASTAGNA,TE,57,207
2021-05-07,67011,CASTELLALTO,TE,714,4704
2021-05-07,67012,CASTELLI,TE,90,546
2021-05-07,67013,CASTIGLIONE MESSER RAIMONDO,TE,136,1338
2021-05-07,67014,CASTILENTI,TE,165,952
2021-05-07,67015,CELLINO ATTANASIO,TE,210,1140
2021-05-07,67016,CERMIGNANO,TE,212,1043
2021-05-07,67017,CIVITELLA DEL TRONTO,TE,536,3056
2021-05-07,67018,COLLEDARA,TE,137,1087
2021-05-07,67019,COLONNELLA,TE,353,1282
2021-05-07,67020,CONTROGUERRA,TE,129,1057
2021-05-07,67021,CORROPOLI,TE,291,2243
2021-05-07,67022,CORTINO,TE,42,311
2021-05-07,67023,CROGNALETO,TE,215,1046
2021-05-07,67024,FANO ADRIANO,TE,15,150
2021-05-07,67025,GIULIANOVA,TE,2098,15252
2021-05-07,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,491,3000
2021-05-07,67047,MARTINSICURO,TE,1293,5955
2021-05-07,67027,MONTEFINO,TE,81,560
2021-05-07,67028,MONTORIO AL VOMANO,TE,1060,6148
2021-05-07,67029,MORRO D'ORO,TE,411,1902
2021-05-07,67030,MOSCIANO SANT'ANGELO,TE,711,5361
2021-05-07,67031,NERETO,TE,467,3648
2021-05-07,67032,NOTARESCO,TE,545,3354
2021-05-07,67033,PENNA SANT'ANDREA,TE,121,937
2021-05-07,67034,PIETRACAMELA,TE,3,86
2021-05-07,67035,PINETO,TE,1030,7719
2021-05-07,67036,ROCCA SANTA MARIA,TE,65,472
2021-05-07,67037,ROSETO DEGLI ABRUZZI,TE,1685,12165
2021-05-07,67038,SANT'EGIDIO ALLA VIBRATA,TE,660,3799
2021-05-07,67039,SANT'OMERO,TE,375,3511
2021-05-07,67040,SILVI,TE,947,6511
2021-05-07,67041,TERAMO,TE,4355,50466
2021-05-07,67042,TORANO NUOVO,TE,119,850
2021-05-07,67043,TORRICELLA SICURA,TE,288,2271
2021-05-07,67044,TORTORETO,TE,763,5854
2021-05-07,67045,TOSSICIA,TE,110,809
2021-05-07,67046,VALLE CASTELLANA,TE,73,302
