AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-07-18,67001,ALBA ADRIATICA,TE,25,696
2020-07-18,67003,ARSITA,TE,5,106
2020-07-18,67004,ATRI,TE,86,2121
2020-07-18,67005,BASCIANO,TE,3,222
2020-07-18,67006,BELLANTE,TE,10,621
2020-07-18,67007,BISENTI,TE,15,377
2020-07-18,67008,CAMPLI,TE,8,740
2020-07-18,67009,CANZANO,TE,2,138
2020-07-18,67011,CASTELLALTO,TE,6,760
2020-07-18,67012,CASTELLI,TE,2,84
2020-07-18,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,778
2020-07-18,67014,CASTILENTI,TE,62,491
2020-07-18,67015,CELLINO ATTANASIO,TE,16,233
2020-07-18,67016,CERMIGNANO,TE,10,163
2020-07-18,67017,CIVITELLA DEL TRONTO,TE,1,414
2020-07-18,67018,COLLEDARA,TE,1,172
2020-07-18,67019,COLONNELLA,TE,22,143
2020-07-18,67021,CORROPOLI,TE,1,287
2020-07-18,67025,GIULIANOVA,TE,31,2795
2020-07-18,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,484
2020-07-18,67047,MARTINSICURO,TE,16,738
2020-07-18,67027,MONTEFINO,TE,25,225
2020-07-18,67028,MONTORIO AL VOMANO,TE,9,899
2020-07-18,67029,MORRO D'ORO,TE,1,264
2020-07-18,67030,MOSCIANO SANT'ANGELO,TE,3,761
2020-07-18,67031,NERETO,TE,8,607
2020-07-18,67032,NOTARESCO,TE,14,546
2020-07-18,67033,PENNA SANT'ANDREA,TE,7,134
2020-07-18,67035,PINETO,TE,63,1679
2020-07-18,67037,ROSETO DEGLI ABRUZZI,TE,29,1771
2020-07-18,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,544
2020-07-18,67039,SANT'OMERO,TE,1,694
2020-07-18,67040,SILVI,TE,17,1220
2020-07-18,67041,TERAMO,TE,185,9280
2020-07-18,67043,TORRICELLA SICURA,TE,19,357
2020-07-18,67044,TORTORETO,TE,2,747
2020-07-18,67045,TOSSICIA,TE,2,117
2020-07-18,67046,VALLE CASTELLANA,TE,3,35
2020-07-18,67002,ANCARANO,TE,0,113
2020-07-18,67010,CASTEL CASTAGNA,TE,0,33
2020-07-18,67020,CONTROGUERRA,TE,0,138
2020-07-18,67022,CORTINO,TE,0,52
2020-07-18,67023,CROGNALETO,TE,0,78
2020-07-18,67024,FANO ADRIANO,TE,0,20
2020-07-18,67034,PIETRACAMELA,TE,0,20
2020-07-18,67036,ROCCA SANTA MARIA,TE,0,36
2020-07-18,67042,TORANO NUOVO,TE,0,94
