AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-11-03,67001,ALBA ADRIATICA,TE,94,1710
2020-11-03,67002,ANCARANO,TE,3,211
2020-11-03,67003,ARSITA,TE,13,213
2020-11-03,67004,ATRI,TE,215,3950
2020-11-03,67005,BASCIANO,TE,13,487
2020-11-03,67006,BELLANTE,TE,94,1525
2020-11-03,67007,BISENTI,TE,88,666
2020-11-03,67008,CAMPLI,TE,46,1682
2020-11-03,67009,CANZANO,TE,11,300
2020-11-03,67010,CASTEL CASTAGNA,TE,3,67
2020-11-03,67011,CASTELLALTO,TE,55,1673
2020-11-03,67012,CASTELLI,TE,25,191
2020-11-03,67013,CASTIGLIONE MESSER RAIMONDO,TE,102,979
2020-11-03,67014,CASTILENTI,TE,66,613
2020-11-03,67015,CELLINO ATTANASIO,TE,27,440
2020-11-03,67016,CERMIGNANO,TE,20,337
2020-11-03,67017,CIVITELLA DEL TRONTO,TE,59,1061
2020-11-03,67018,COLLEDARA,TE,27,396
2020-11-03,67019,COLONNELLA,TE,70,398
2020-11-03,67020,CONTROGUERRA,TE,31,322
2020-11-03,67021,CORROPOLI,TE,34,723
2020-11-03,67022,CORTINO,TE,2,127
2020-11-03,67023,CROGNALETO,TE,85,442
2020-11-03,67024,FANO ADRIANO,TE,5,42
2020-11-03,67025,GIULIANOVA,TE,293,5761
2020-11-03,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,189,1105
2020-11-03,67047,MARTINSICURO,TE,124,1718
2020-11-03,67027,MONTEFINO,TE,35,299
2020-11-03,67028,MONTORIO AL VOMANO,TE,342,2502
2020-11-03,67029,MORRO D'ORO,TE,13,545
2020-11-03,67030,MOSCIANO SANT'ANGELO,TE,56,1734
2020-11-03,67031,NERETO,TE,51,1228
2020-11-03,67032,NOTARESCO,TE,46,1219
2020-11-03,67033,PENNA SANT'ANDREA,TE,17,300
2020-11-03,67034,PIETRACAMELA,TE,2,44
2020-11-03,67035,PINETO,TE,190,3176
2020-11-03,67036,ROCCA SANTA MARIA,TE,26,243
2020-11-03,67037,ROSETO DEGLI ABRUZZI,TE,129,3879
2020-11-03,67038,SANT'EGIDIO ALLA VIBRATA,TE,118,1261
2020-11-03,67039,SANT'OMERO,TE,52,1438
2020-11-03,67040,SILVI,TE,117,2312
2020-11-03,67041,TERAMO,TE,691,19867
2020-11-03,67042,TORANO NUOVO,TE,36,315
2020-11-03,67043,TORRICELLA SICURA,TE,50,729
2020-11-03,67044,TORTORETO,TE,66,1650
2020-11-03,67045,TOSSICIA,TE,23,319
2020-11-03,67046,VALLE CASTELLANA,TE,6,71
