AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-05-19,67001,ALBA ADRIATICA,TE,16,327
2020-05-19,67003,ARSITA,TE,5,80
2020-05-19,67004,ATRI,TE,85,1289
2020-05-19,67005,BASCIANO,TE,3,106
2020-05-19,67006,BELLANTE,TE,9,309
2020-05-19,67007,BISENTI,TE,15,231
2020-05-19,67008,CAMPLI,TE,8,388
2020-05-19,67009,CANZANO,TE,2,60
2020-05-19,67011,CASTELLALTO,TE,5,322
2020-05-19,67012,CASTELLI,TE,2,40
2020-05-19,67013,CASTIGLIONE MESSER RAIMONDO,TE,83,644
2020-05-19,67014,CASTILENTI,TE,58,402
2020-05-19,67015,CELLINO ATTANASIO,TE,13,124
2020-05-19,67016,CERMIGNANO,TE,12,76
2020-05-19,67017,CIVITELLA DEL TRONTO,TE,1,191
2020-05-19,67018,COLLEDARA,TE,1,89
2020-05-19,67019,COLONNELLA,TE,16,60
2020-05-19,67021,CORROPOLI,TE,1,133
2020-05-19,67025,GIULIANOVA,TE,31,1331
2020-05-19,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,265
2020-05-19,67047,MARTINSICURO,TE,9,270
2020-05-19,67027,MONTEFINO,TE,24,163
2020-05-19,67028,MONTORIO AL VOMANO,TE,9,456
2020-05-19,67029,MORRO D'ORO,TE,1,103
2020-05-19,67030,MOSCIANO SANT'ANGELO,TE,5,375
2020-05-19,67031,NERETO,TE,7,292
2020-05-19,67032,NOTARESCO,TE,17,274
2020-05-19,67033,PENNA SANT'ANDREA,TE,7,70
2020-05-19,67035,PINETO,TE,59,934
2020-05-19,67037,ROSETO DEGLI ABRUZZI,TE,29,841
2020-05-19,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,253
2020-05-19,67039,SANT'OMERO,TE,1,310
2020-05-19,67040,SILVI,TE,15,599
2020-05-19,67041,TERAMO,TE,181,4970
2020-05-19,67043,TORRICELLA SICURA,TE,16,198
2020-05-19,67044,TORTORETO,TE,2,404
2020-05-19,67045,TOSSICIA,TE,2,52
2020-05-19,67046,VALLE CASTELLANA,TE,3,27
2020-05-19,67002,ANCARANO,TE,0,41
2020-05-19,67010,CASTEL CASTAGNA,TE,0,18
2020-05-19,67020,CONTROGUERRA,TE,0,50
2020-05-19,67022,CORTINO,TE,0,27
2020-05-19,67023,CROGNALETO,TE,0,36
2020-05-19,67024,FANO ADRIANO,TE,0,7
2020-05-19,67034,PIETRACAMELA,TE,0,10
2020-05-19,67036,ROCCA SANTA MARIA,TE,0,20
2020-05-19,67042,TORANO NUOVO,TE,0,42
