AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-01-05,67001,ALBA ADRIATICA,TE,306,2651
2021-01-05,67002,ANCARANO,TE,48,331
2021-01-05,67003,ARSITA,TE,39,295
2021-01-05,67004,ATRI,TE,539,5957
2021-01-05,67005,BASCIANO,TE,142,1017
2021-01-05,67006,BELLANTE,TE,328,2385
2021-01-05,67007,BISENTI,TE,127,894
2021-01-05,67008,CAMPLI,TE,325,2799
2021-01-05,67009,CANZANO,TE,102,663
2021-01-05,67010,CASTEL CASTAGNA,TE,38,138
2021-01-05,67011,CASTELLALTO,TE,478,3107
2021-01-05,67012,CASTELLI,TE,81,394
2021-01-05,67013,CASTIGLIONE MESSER RAIMONDO,TE,117,1139
2021-01-05,67014,CASTILENTI,TE,104,761
2021-01-05,67015,CELLINO ATTANASIO,TE,89,725
2021-01-05,67016,CERMIGNANO,TE,192,766
2021-01-05,67017,CIVITELLA DEL TRONTO,TE,373,1768
2021-01-05,67018,COLLEDARA,TE,102,718
2021-01-05,67019,COLONNELLA,TE,172,648
2021-01-05,67020,CONTROGUERRA,TE,71,502
2021-01-05,67021,CORROPOLI,TE,144,1197
2021-01-05,67022,CORTINO,TE,36,215
2021-01-05,67023,CROGNALETO,TE,177,775
2021-01-05,67024,FANO ADRIANO,TE,11,88
2021-01-05,67025,GIULIANOVA,TE,1086,8921
2021-01-05,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,433,2260
2021-01-05,67047,MARTINSICURO,TE,614,2990
2021-01-05,67027,MONTEFINO,TE,56,393
2021-01-05,67028,MONTORIO AL VOMANO,TE,920,4453
2021-01-05,67029,MORRO D'ORO,TE,181,1097
2021-01-05,67030,MOSCIANO SANT'ANGELO,TE,329,2860
2021-01-05,67031,NERETO,TE,201,1944
2021-01-05,67032,NOTARESCO,TE,269,1944
2021-01-05,67033,PENNA SANT'ANDREA,TE,62,566
2021-01-05,67034,PIETRACAMELA,TE,3,62
2021-01-05,67035,PINETO,TE,610,4811
2021-01-05,67036,ROCCA SANTA MARIA,TE,53,351
2021-01-05,67037,ROSETO DEGLI ABRUZZI,TE,705,6392
2021-01-05,67038,SANT'EGIDIO ALLA VIBRATA,TE,316,2046
2021-01-05,67039,SANT'OMERO,TE,180,2084
2021-01-05,67040,SILVI,TE,528,4037
2021-01-05,67041,TERAMO,TE,2822,31800
2021-01-05,67042,TORANO NUOVO,TE,69,483
2021-01-05,67043,TORRICELLA SICURA,TE,162,1468
2021-01-05,67044,TORTORETO,TE,326,2812
2021-01-05,67045,TOSSICIA,TE,88,546
2021-01-05,67046,VALLE CASTELLANA,TE,36,156
