AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-12-21,67001,ALBA ADRIATICA,TE,279,2523
2020-12-21,67002,ANCARANO,TE,28,306
2020-12-21,67003,ARSITA,TE,33,273
2020-12-21,67004,ATRI,TE,504,5634
2020-12-21,67005,BASCIANO,TE,112,901
2020-12-21,67006,BELLANTE,TE,296,2270
2020-12-21,67007,BISENTI,TE,122,855
2020-12-21,67008,CAMPLI,TE,269,2571
2020-12-21,67009,CANZANO,TE,90,602
2020-12-21,67010,CASTEL CASTAGNA,TE,38,130
2020-12-21,67011,CASTELLALTO,TE,430,2885
2020-12-21,67012,CASTELLI,TE,72,368
2020-12-21,67013,CASTIGLIONE MESSER RAIMONDO,TE,116,1117
2020-12-21,67014,CASTILENTI,TE,98,744
2020-12-21,67015,CELLINO ATTANASIO,TE,73,680
2020-12-21,67016,CERMIGNANO,TE,165,663
2020-12-21,67017,CIVITELLA DEL TRONTO,TE,354,1577
2020-12-21,67018,COLLEDARA,TE,86,655
2020-12-21,67019,COLONNELLA,TE,161,598
2020-12-21,67020,CONTROGUERRA,TE,56,464
2020-12-21,67021,CORROPOLI,TE,129,1138
2020-12-21,67022,CORTINO,TE,21,198
2020-12-21,67023,CROGNALETO,TE,173,748
2020-12-21,67024,FANO ADRIANO,TE,9,83
2020-12-21,67025,GIULIANOVA,TE,997,8492
2020-12-21,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,422,2158
2020-12-21,67047,MARTINSICURO,TE,542,2827
2020-12-21,67027,MONTEFINO,TE,53,383
2020-12-21,67028,MONTORIO AL VOMANO,TE,890,4263
2020-12-21,67029,MORRO D'ORO,TE,161,1012
2020-12-21,67030,MOSCIANO SANT'ANGELO,TE,280,2700
2020-12-21,67031,NERETO,TE,181,1781
2020-12-21,67032,NOTARESCO,TE,243,1847
2020-12-21,67033,PENNA SANT'ANDREA,TE,58,538
2020-12-21,67034,PIETRACAMELA,TE,3,58
2020-12-21,67035,PINETO,TE,566,4571
2020-12-21,67036,ROCCA SANTA MARIA,TE,53,333
2020-12-21,67037,ROSETO DEGLI ABRUZZI,TE,630,6079
2020-12-21,67038,SANT'EGIDIO ALLA VIBRATA,TE,271,1919
2020-12-21,67039,SANT'OMERO,TE,170,1956
2020-12-21,67040,SILVI,TE,478,3801
2020-12-21,67041,TERAMO,TE,2625,29941
2020-12-21,67042,TORANO NUOVO,TE,54,450
2020-12-21,67043,TORRICELLA SICURA,TE,155,1390
2020-12-21,67044,TORTORETO,TE,303,2633
2020-12-21,67045,TOSSICIA,TE,78,514
2020-12-21,67046,VALLE CASTELLANA,TE,35,154
