AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-06-03,2020-03-14,CH,2,1,0
2020-06-03,2020-03-14,PE,14,20,3
2020-06-03,2020-03-14,TE,9,11,1
2020-06-03,2020-03-16,AQ,2,0,0
2020-06-03,2020-03-16,CH,1,2,0
2020-06-03,2020-03-16,PE,1,9,0
2020-06-03,2020-03-16,TE,10,70,0
2020-06-03,2020-03-17,AQ,5,10,1
2020-06-03,2020-03-17,CH,7,9,1
2020-06-03,2020-03-17,PE,34,56,4
2020-06-03,2020-03-17,TE,20,58,0
2020-06-03,2020-03-18,AQ,3,5,0
2020-06-03,2020-03-18,CH,7,0,0
2020-06-03,2020-03-18,PE,13,16,4
2020-06-03,2020-03-18,TE,18,63,2
2020-06-03,2020-03-19,AQ,7,15,1
2020-06-03,2020-03-19,TE,18,48,1
2020-06-03,2020-03-20,AQ,5,20,2
2020-06-03,2020-03-20,TE,28,124,9
2020-06-03,2020-03-21,AQ,4,31,0
2020-06-03,2020-03-21,PE,1,1,0
2020-06-03,2020-03-21,TE,18,76,2
2020-06-03,2020-03-22,AQ,2,6,0
2020-06-03,2020-03-22,PE,1,0,0
2020-06-03,2020-03-22,TE,15,31,1
2020-06-03,2020-03-23,AQ,13,41,1
2020-06-03,2020-03-23,CH,3,26,6
2020-06-03,2020-03-23,PE,1,14,2
2020-06-03,2020-03-23,TE,60,116,16
2020-06-03,2020-03-24,AQ,10,20,3
2020-06-03,2020-03-24,CH,1,78,0
2020-06-03,2020-03-24,PE,8,175,5
2020-06-03,2020-03-24,TE,68,170,8
2020-06-03,2020-03-25,AQ,2,52,2
2020-06-03,2020-03-25,CH,2,47,0
2020-06-03,2020-03-25,TE,18,139,1
2020-06-03,2020-03-26,AQ,6,46,5
2020-06-03,2020-03-26,CH,2,18,0
2020-06-03,2020-03-26,PE,1,12,1
2020-06-03,2020-03-26,TE,32,263,10
2020-06-03,2020-03-27,AQ,17,46,1
2020-06-03,2020-03-27,PE,2,9,0
2020-06-03,2020-03-27,TE,14,394,8
2020-06-03,2020-03-28,AQ,12,28,6
2020-06-03,2020-03-28,PE,3,7,2
