AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-12-07,67001,ALBA ADRIATICA,TE,255,2263
2020-12-07,67002,ANCARANO,TE,18,291
2020-12-07,67003,ARSITA,TE,30,260
2020-12-07,67004,ATRI,TE,474,5288
2020-12-07,67005,BASCIANO,TE,89,770
2020-12-07,67006,BELLANTE,TE,260,2102
2020-12-07,67007,BISENTI,TE,115,821
2020-12-07,67008,CAMPLI,TE,203,2303
2020-12-07,67009,CANZANO,TE,74,492
2020-12-07,67010,CASTEL CASTAGNA,TE,35,110
2020-12-07,67011,CASTELLALTO,TE,368,2672
2020-12-07,67012,CASTELLI,TE,63,351
2020-12-07,67013,CASTIGLIONE MESSER RAIMONDO,TE,114,1095
2020-12-07,67014,CASTILENTI,TE,96,724
2020-12-07,67015,CELLINO ATTANASIO,TE,66,630
2020-12-07,67016,CERMIGNANO,TE,99,547
2020-12-07,67017,CIVITELLA DEL TRONTO,TE,283,1398
2020-12-07,67018,COLLEDARA,TE,80,611
2020-12-07,67019,COLONNELLA,TE,141,510
2020-12-07,67020,CONTROGUERRA,TE,55,426
2020-12-07,67021,CORROPOLI,TE,113,1043
2020-12-07,67022,CORTINO,TE,16,174
2020-12-07,67023,CROGNALETO,TE,152,710
2020-12-07,67024,FANO ADRIANO,TE,9,75
2020-12-07,67025,GIULIANOVA,TE,887,7729
2020-12-07,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,409,2001
2020-12-07,67047,MARTINSICURO,TE,449,2530
2020-12-07,67027,MONTEFINO,TE,48,375
2020-12-07,67028,MONTORIO AL VOMANO,TE,850,3999
2020-12-07,67029,MORRO D'ORO,TE,132,838
2020-12-07,67030,MOSCIANO SANT'ANGELO,TE,253,2410
2020-12-07,67031,NERETO,TE,141,1634
2020-12-07,67032,NOTARESCO,TE,218,1654
2020-12-07,67033,PENNA SANT'ANDREA,TE,51,445
2020-12-07,67034,PIETRACAMELA,TE,3,57
2020-12-07,67035,PINETO,TE,518,4276
2020-12-07,67036,ROCCA SANTA MARIA,TE,50,306
2020-12-07,67037,ROSETO DEGLI ABRUZZI,TE,560,5433
2020-12-07,67038,SANT'EGIDIO ALLA VIBRATA,TE,237,1754
2020-12-07,67039,SANT'OMERO,TE,143,1820
2020-12-07,67040,SILVI,TE,413,3427
2020-12-07,67041,TERAMO,TE,2307,26816
2020-12-07,67042,TORANO NUOVO,TE,49,423
2020-12-07,67043,TORRICELLA SICURA,TE,140,1257
2020-12-07,67044,TORTORETO,TE,253,2317
2020-12-07,67045,TOSSICIA,TE,71,488
2020-12-07,67046,VALLE CASTELLANA,TE,33,138
