ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2020-05-17,1,232,233,2020-06-04
AQ,2020-05-21,1,289,290,2020-06-04
AQ,2020-05-28,1,275,276,2020-06-04
AQ,2020-05-30,1,198,199,2020-06-04
AQ,2020-05-31,20,121,141,2020-06-04
AQ,2020-06-04,72,33,105,2020-06-04
AQ,2020-06-05,74,0,74,2020-06-04
CH,2020-05-17,1,125,126,2020-06-04
CH,2020-05-25,2,80,82,2020-06-04
CH,2020-05-27,21,124,145,2020-06-04
CH,2020-05-28,6,403,409,2020-06-04
CH,2020-05-29,1,118,119,2020-06-04
CH,2020-05-30,5,277,282,2020-06-04
CH,2020-05-31,3,303,306,2020-06-04
CH,2020-06-02,8,109,117,2020-06-04
CH,2020-06-03,7,148,155,2020-06-04
CH,2020-06-04,88,152,240,2020-06-04
CH,2020-06-05,10,0,10,2020-06-04
PE,2020-05-30,2,27,29,2020-06-04
PE,2020-06-04,29,0,29,2020-06-04
TE,2020-05-12,1,321,322,2020-06-04
TE,2020-05-27,1,245,246,2020-06-04
TE,2020-05-29,3,386,389,2020-06-04
TE,2020-05-30,1,162,163,2020-06-04
TE,2020-05-31,2,214,216,2020-06-04
TE,2020-06-03,4,495,499,2020-06-04
TE,2020-06-04,90,197,287,2020-06-04
TE,2020-06-05,42,0,42,2020-06-04
AQ,2020-03-17,0,13,13,2020-06-04
AQ,2020-03-18,0,8,8,2020-06-04
AQ,2020-03-19,0,19,19,2020-06-04
AQ,2020-03-20,0,15,15,2020-06-04
AQ,2020-03-21,0,21,21,2020-06-04
AQ,2020-03-22,0,34,34,2020-06-04
AQ,2020-03-23,0,45,45,2020-06-04
AQ,2020-03-24,0,34,34,2020-06-04
AQ,2020-03-25,0,51,51,2020-06-04
AQ,2020-03-26,0,60,60,2020-06-04
AQ,2020-03-27,0,54,54,2020-06-04
AQ,2020-03-28,0,36,36,2020-06-04
AQ,2020-03-29,0,28,28,2020-06-04
AQ,2020-03-30,0,84,84,2020-06-04
AQ,2020-03-31,0,104,104,2020-06-04
AQ,2020-04-01,0,171,171,2020-06-04
AQ,2020-04-02,0,109,109,2020-06-04
AQ,2020-04-03,0,84,84,2020-06-04
AQ,2020-04-04,0,130,130,2020-06-04
AQ,2020-04-05,0,82,82,2020-06-04
AQ,2020-04-06,0,161,161,2020-06-04
AQ,2020-04-07,0,77,77,2020-06-04
AQ,2020-04-08,0,144,144,2020-06-04
AQ,2020-04-09,0,130,130,2020-06-04
AQ,2020-04-10,0,142,142,2020-06-04
AQ,2020-04-11,0,163,163,2020-06-04
AQ,2020-04-13,0,19,19,2020-06-04
AQ,2020-04-14,0,187,187,2020-06-04
AQ,2020-04-15,0,94,94,2020-06-04
AQ,2020-04-16,0,154,154,2020-06-04
AQ,2020-04-17,0,170,170,2020-06-04
AQ,2020-04-18,0,102,102,2020-06-04
AQ,2020-04-19,0,45,45,2020-06-04
AQ,2020-04-20,0,170,170,2020-06-04
AQ,2020-04-21,0,83,83,2020-06-04
AQ,2020-04-22,0,171,171,2020-06-04
AQ,2020-04-23,0,85,85,2020-06-04
AQ,2020-04-24,0,182,182,2020-06-04
AQ,2020-04-25,0,25,25,2020-06-04
AQ,2020-04-26,0,22,22,2020-06-04
AQ,2020-04-27,0,85,85,2020-06-04
AQ,2020-04-28,0,131,131,2020-06-04
AQ,2020-04-29,0,89,89,2020-06-04
AQ,2020-04-30,0,67,67,2020-06-04
AQ,2020-05-01,0,69,69,2020-06-04
AQ,2020-05-02,0,77,77,2020-06-04
AQ,2020-05-03,0,16,16,2020-06-04
AQ,2020-05-04,0,170,170,2020-06-04
AQ,2020-05-05,0,67,67,2020-06-04
AQ,2020-05-06,0,102,102,2020-06-04
AQ,2020-05-07,0,122,122,2020-06-04
AQ,2020-05-08,0,144,144,2020-06-04
AQ,2020-05-09,0,121,121,2020-06-04
AQ,2020-05-10,0,155,155,2020-06-04
AQ,2020-05-11,0,128,128,2020-06-04
AQ,2020-05-12,0,201,201,2020-06-04
AQ,2020-05-13,0,252,252,2020-06-04
AQ,2020-05-14,0,279,279,2020-06-04
AQ,2020-05-15,0,149,149,2020-06-04
AQ,2020-05-16,0,129,129,2020-06-04
AQ,2020-05-18,0,110,110,2020-06-04
AQ,2020-05-19,0,301,301,2020-06-04
AQ,2020-05-20,0,64,64,2020-06-04
AQ,2020-05-22,0,255,255,2020-06-04
AQ,2020-05-23,0,372,372,2020-06-04
AQ,2020-05-24,0,132,132,2020-06-04
AQ,2020-05-25,0,165,165,2020-06-04
AQ,2020-05-26,0,251,251,2020-06-04
AQ,2020-05-27,0,348,348,2020-06-04
AQ,2020-05-29,0,228,228,2020-06-04
AQ,2020-06-01,0,188,188,2020-06-04
AQ,2020-06-02,0,9,9,2020-06-04
AQ,2020-06-03,0,169,169,2020-06-04
CH,2020-03-23,0,34,34,2020-06-04
CH,2020-03-24,0,80,80,2020-06-04
CH,2020-03-25,0,41,41,2020-06-04
CH,2020-03-26,0,15,15,2020-06-04
CH,2020-03-27,0,13,13,2020-06-04
CH,2020-04-02,0,46,46,2020-06-04
CH,2020-04-06,0,3,3,2020-06-04
CH,2020-04-07,0,94,94,2020-06-04
CH,2020-04-08,0,80,80,2020-06-04
CH,2020-04-09,0,11,11,2020-06-04
CH,2020-04-11,0,2,2,2020-06-04
CH,2020-04-14,0,3,3,2020-06-04
CH,2020-04-15,0,4,4,2020-06-04
CH,2020-04-17,0,35,35,2020-06-04
CH,2020-04-18,0,278,278,2020-06-04
CH,2020-04-19,0,384,384,2020-06-04
CH,2020-04-20,0,136,136,2020-06-04
CH,2020-04-21,0,221,221,2020-06-04
CH,2020-04-22,0,608,608,2020-06-04
CH,2020-04-23,0,476,476,2020-06-04
CH,2020-04-24,0,445,445,2020-06-04
CH,2020-04-25,0,119,119,2020-06-04
CH,2020-04-26,0,231,231,2020-06-04
CH,2020-04-27,0,222,222,2020-06-04
CH,2020-04-28,0,143,143,2020-06-04
CH,2020-04-29,0,102,102,2020-06-04
CH,2020-04-30,0,213,213,2020-06-04
CH,2020-05-01,0,169,169,2020-06-04
CH,2020-05-02,0,227,227,2020-06-04
CH,2020-05-03,0,179,179,2020-06-04
CH,2020-05-04,0,108,108,2020-06-04
CH,2020-05-05,0,197,197,2020-06-04
CH,2020-05-06,0,114,114,2020-06-04
CH,2020-05-07,0,167,167,2020-06-04
CH,2020-05-08,0,217,217,2020-06-04
CH,2020-05-09,0,23,23,2020-06-04
CH,2020-05-10,0,89,89,2020-06-04
CH,2020-05-11,0,279,279,2020-06-04
CH,2020-05-13,0,203,203,2020-06-04
CH,2020-05-14,0,117,117,2020-06-04
CH,2020-05-15,0,120,120,2020-06-04
CH,2020-05-16,0,330,330,2020-06-04
CH,2020-05-18,0,76,76,2020-06-04
CH,2020-05-19,0,153,153,2020-06-04
CH,2020-05-20,0,79,79,2020-06-04
CH,2020-05-21,0,220,220,2020-06-04
CH,2020-05-22,0,136,136,2020-06-04
CH,2020-05-23,0,200,200,2020-06-04
CH,2020-05-24,0,200,200,2020-06-04
CH,2020-05-26,0,398,398,2020-06-04
CH,2020-06-01,0,237,237,2020-06-04
PE,2020-03-17,0,50,50,2020-06-04
PE,2020-03-18,0,49,49,2020-06-04
PE,2020-03-19,0,40,40,2020-06-04
PE,2020-03-20,0,50,50,2020-06-04
PE,2020-03-26,0,181,181,2020-06-04
PE,2020-04-07,0,44,44,2020-06-04
PE,2020-04-08,0,141,141,2020-06-04
PE,2020-04-13,0,30,30,2020-06-04
PE,2020-04-15,0,3,3,2020-06-04
PE,2020-05-08,0,19,19,2020-06-04
PE,2020-05-10,0,24,24,2020-06-04
PE,2020-05-11,0,15,15,2020-06-04
PE,2020-05-12,0,9,9,2020-06-04
PE,2020-05-13,0,35,35,2020-06-04
PE,2020-05-15,0,49,49,2020-06-04
PE,2020-05-16,0,30,30,2020-06-04
PE,2020-05-18,0,21,21,2020-06-04
PE,2020-05-19,0,28,28,2020-06-04
PE,2020-05-20,0,24,24,2020-06-04
