AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-09-30,67001,ALBA ADRIATICA,TE,33,1184
2020-09-30,67003,ARSITA,TE,5,130
2020-09-30,67004,ATRI,TE,87,2928
2020-09-30,67005,BASCIANO,TE,3,337
2020-09-30,67006,BELLANTE,TE,14,939
2020-09-30,67007,BISENTI,TE,15,486
2020-09-30,67008,CAMPLI,TE,8,1203
2020-09-30,67009,CANZANO,TE,2,207
2020-09-30,67011,CASTELLALTO,TE,13,1192
2020-09-30,67012,CASTELLI,TE,2,113
2020-09-30,67013,CASTIGLIONE MESSER RAIMONDO,TE,89,880
2020-09-30,67014,CASTILENTI,TE,62,559
2020-09-30,67015,CELLINO ATTANASIO,TE,16,335
2020-09-30,67016,CERMIGNANO,TE,11,254
2020-09-30,67017,CIVITELLA DEL TRONTO,TE,46,755
2020-09-30,67018,COLLEDARA,TE,1,250
2020-09-30,67019,COLONNELLA,TE,32,246
2020-09-30,67020,CONTROGUERRA,TE,5,253
2020-09-30,67021,CORROPOLI,TE,8,502
2020-09-30,67025,GIULIANOVA,TE,62,4166
2020-09-30,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,8,667
2020-09-30,67047,MARTINSICURO,TE,37,1253
2020-09-30,67027,MONTEFINO,TE,25,258
2020-09-30,67028,MONTORIO AL VOMANO,TE,9,1310
2020-09-30,67029,MORRO D'ORO,TE,1,395
2020-09-30,67030,MOSCIANO SANT'ANGELO,TE,10,1200
2020-09-30,67031,NERETO,TE,16,891
2020-09-30,67032,NOTARESCO,TE,18,885
2020-09-30,67033,PENNA SANT'ANDREA,TE,9,201
2020-09-30,67034,PIETRACAMELA,TE,1,32
2020-09-30,67035,PINETO,TE,69,2308
2020-09-30,67036,ROCCA SANTA MARIA,TE,10,120
2020-09-30,67037,ROSETO DEGLI ABRUZZI,TE,32,2733
2020-09-30,67038,SANT'EGIDIO ALLA VIBRATA,TE,13,835
2020-09-30,67039,SANT'OMERO,TE,4,1058
2020-09-30,67040,SILVI,TE,25,1673
2020-09-30,67041,TERAMO,TE,210,13731
2020-09-30,67042,TORANO NUOVO,TE,9,187
2020-09-30,67043,TORRICELLA SICURA,TE,19,511
2020-09-30,67044,TORTORETO,TE,11,1174
2020-09-30,67045,TOSSICIA,TE,2,163
2020-09-30,67046,VALLE CASTELLANA,TE,3,48
2020-09-30,67002,ANCARANO,TE,0,152
2020-09-30,67010,CASTEL CASTAGNA,TE,0,46
2020-09-30,67022,CORTINO,TE,0,81
2020-09-30,67023,CROGNALETO,TE,0,162
2020-09-30,67024,FANO ADRIANO,TE,0,33
