AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2021-03-17,2020-03-14,TE,9,11,1
2021-03-17,2020-03-16,TE,10,69,0
2021-03-17,2020-03-17,TE,20,57,0
2021-03-17,2020-03-18,TE,18,63,2
2021-03-17,2020-03-19,TE,18,48,1
2021-03-17,2020-03-20,TE,28,124,9
2021-03-17,2020-03-21,TE,18,76,2
2021-03-17,2020-03-22,TE,15,31,1
2021-03-17,2020-03-23,TE,61,115,16
2021-03-17,2020-03-24,TE,68,170,8
2021-03-17,2020-03-25,TE,18,135,1
2021-03-17,2020-03-26,TE,32,261,10
2021-03-17,2020-03-27,TE,14,393,8
2021-03-17,2020-03-28,TE,10,175,4
2021-03-17,2020-03-29,TE,14,67,5
2021-03-17,2020-03-30,TE,21,480,6
2021-03-17,2020-03-31,TE,31,178,14
2021-03-17,2020-04-01,TE,29,441,24
2021-03-17,2020-04-02,TE,27,406,24
2021-03-17,2020-04-03,TE,21,347,5
2021-03-17,2020-04-04,TE,22,95,6
2021-03-17,2020-04-05,TE,6,34,0
2021-03-17,2020-04-06,TE,4,74,4
2021-03-17,2020-04-07,TE,33,266,8
2021-03-17,2020-04-08,TE,18,337,5
2021-03-17,2020-04-09,TE,23,547,6
2021-03-17,2020-04-10,TE,14,628,6
2021-03-17,2020-04-11,TE,14,430,2
2021-03-17,2020-04-13,TE,3,80,6
2021-03-17,2020-04-14,TE,12,381,9
2021-03-17,2020-04-15,TE,6,325,9
2021-03-17,2020-04-16,TE,9,677,14
2021-03-17,2020-04-17,TE,4,426,4
2021-03-17,2020-04-18,TE,15,388,22
2021-03-17,2020-04-19,TE,6,32,0
2021-03-17,2020-04-20,TE,14,442,4
2021-03-17,2020-04-21,TE,11,422,7
2021-03-17,2020-04-22,TE,7,383,8
2021-03-17,2020-04-23,TE,3,430,3
2021-03-17,2020-04-24,TE,9,485,7
2021-03-17,2020-04-25,TE,1,83,1
2021-03-17,2020-04-26,TE,3,27,0
2021-03-17,2020-04-27,TE,14,397,8
2021-03-17,2020-04-28,TE,4,519,3
2021-03-17,2020-04-29,TE,10,533,21
2021-03-17,2020-04-30,TE,7,386,2
2021-03-17,2020-05-02,TE,6,393,6
2021-03-17,2020-05-03,TE,2,30,0
2021-03-17,2020-05-04,TE,4,419,7
2021-03-17,2020-05-05,TE,10,474,8
2021-03-17,2020-05-06,TE,4,480,8
2021-03-17,2020-05-07,TE,5,582,2
2021-03-17,2020-05-08,TE,2,620,6
2021-03-17,2020-05-09,TE,1,334,2
2021-03-17,2020-05-12,TE,5,778,6
2021-03-17,2020-05-13,TE,3,595,1
2021-03-17,2020-05-14,TE,9,883,4
2021-03-17,2020-05-15,TE,1,273,1
2021-03-17,2020-05-16,TE,2,354,2
2021-03-17,2020-05-17,TE,1,29,0
2021-03-17,2020-05-18,TE,4,495,6
2021-03-17,2020-05-19,TE,2,613,8
2021-03-17,2020-05-21,TE,3,660,3
2021-03-17,2020-05-22,TE,2,514,4
2021-03-17,2020-05-25,TE,1,500,0
2021-03-17,2020-05-26,TE,1,503,5
2021-03-17,2020-05-27,TE,2,341,2
2021-03-17,2020-05-29,TE,4,327,2
2021-03-17,2020-06-01,TE,6,361,4
2021-03-17,2020-06-09,TE,2,528,0
2021-03-17,2020-06-11,TE,1,394,0
2021-03-17,2020-06-12,TE,1,375,1
2021-03-17,2020-06-13,TE,1,176,1
2021-03-17,2020-06-14,TE,1,41,0
2021-03-17,2020-06-15,TE,2,225,0
2021-03-17,2020-06-17,TE,2,241,1
2021-03-17,2020-06-19,TE,1,202,0
2021-03-17,2020-06-22,TE,1,277,0
2021-03-17,2020-06-25,TE,1,302,0
2021-03-17,2020-06-26,TE,1,385,0
2021-03-17,2020-06-30,TE,3,237,0
2021-03-17,2020-07-02,TE,2,209,0
2021-03-17,2020-07-09,TE,1,204,0
2021-03-17,2020-07-10,TE,3,273,0
2021-03-17,2020-07-13,TE,1,224,1
