AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-06-09,67001,ALBA ADRIATICA,TE,20,503
2020-06-09,67003,ARSITA,TE,5,99
2020-06-09,67004,ATRI,TE,86,1621
2020-06-09,67005,BASCIANO,TE,3,155
2020-06-09,67006,BELLANTE,TE,10,442
2020-06-09,67007,BISENTI,TE,15,295
2020-06-09,67008,CAMPLI,TE,8,545
2020-06-09,67009,CANZANO,TE,2,91
2020-06-09,67011,CASTELLALTO,TE,6,503
2020-06-09,67012,CASTELLI,TE,2,55
2020-06-09,67013,CASTIGLIONE MESSER RAIMONDO,TE,84,729
2020-06-09,67014,CASTILENTI,TE,62,446
2020-06-09,67015,CELLINO ATTANASIO,TE,13,166
2020-06-09,67016,CERMIGNANO,TE,10,118
2020-06-09,67017,CIVITELLA DEL TRONTO,TE,1,314
2020-06-09,67018,COLLEDARA,TE,1,127
2020-06-09,67019,COLONNELLA,TE,19,99
2020-06-09,67021,CORROPOLI,TE,1,210
2020-06-09,67025,GIULIANOVA,TE,31,1915
2020-06-09,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,390
2020-06-09,67047,MARTINSICURO,TE,10,478
2020-06-09,67027,MONTEFINO,TE,25,194
2020-06-09,67028,MONTORIO AL VOMANO,TE,9,681
2020-06-09,67029,MORRO D'ORO,TE,1,174
2020-06-09,67030,MOSCIANO SANT'ANGELO,TE,3,523
2020-06-09,67031,NERETO,TE,8,467
2020-06-09,67032,NOTARESCO,TE,14,407
2020-06-09,67033,PENNA SANT'ANDREA,TE,7,99
2020-06-09,67035,PINETO,TE,60,1285
2020-06-09,67037,ROSETO DEGLI ABRUZZI,TE,29,1247
2020-06-09,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,387
2020-06-09,67039,SANT'OMERO,TE,1,522
2020-06-09,67040,SILVI,TE,16,793
2020-06-09,67041,TERAMO,TE,185,6984
2020-06-09,67043,TORRICELLA SICURA,TE,19,269
2020-06-09,67044,TORTORETO,TE,2,576
2020-06-09,67045,TOSSICIA,TE,2,82
2020-06-09,67046,VALLE CASTELLANA,TE,3,32
2020-06-09,67002,ANCARANO,TE,0,74
2020-06-09,67010,CASTEL CASTAGNA,TE,0,26
2020-06-09,67020,CONTROGUERRA,TE,0,90
2020-06-09,67022,CORTINO,TE,0,41
2020-06-09,67023,CROGNALETO,TE,0,57
2020-06-09,67024,FANO ADRIANO,TE,0,14
2020-06-09,67034,PIETRACAMELA,TE,0,15
2020-06-09,67036,ROCCA SANTA MARIA,TE,0,28
2020-06-09,67042,TORANO NUOVO,TE,0,65
