AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-07-24,67001,ALBA ADRIATICA,TE,27,716
2020-07-24,67003,ARSITA,TE,5,106
2020-07-24,67004,ATRI,TE,86,2161
2020-07-24,67005,BASCIANO,TE,3,229
2020-07-24,67006,BELLANTE,TE,10,641
2020-07-24,67007,BISENTI,TE,15,384
2020-07-24,67008,CAMPLI,TE,8,761
2020-07-24,67009,CANZANO,TE,2,139
2020-07-24,67011,CASTELLALTO,TE,6,771
2020-07-24,67012,CASTELLI,TE,2,87
2020-07-24,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,780
2020-07-24,67014,CASTILENTI,TE,62,494
2020-07-24,67015,CELLINO ATTANASIO,TE,16,240
2020-07-24,67016,CERMIGNANO,TE,10,169
2020-07-24,67017,CIVITELLA DEL TRONTO,TE,1,422
2020-07-24,67018,COLLEDARA,TE,1,176
2020-07-24,67019,COLONNELLA,TE,22,147
2020-07-24,67021,CORROPOLI,TE,1,293
2020-07-24,67025,GIULIANOVA,TE,31,2849
2020-07-24,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,499
2020-07-24,67047,MARTINSICURO,TE,17,771
2020-07-24,67027,MONTEFINO,TE,25,228
2020-07-24,67028,MONTORIO AL VOMANO,TE,9,919
2020-07-24,67029,MORRO D'ORO,TE,1,274
2020-07-24,67030,MOSCIANO SANT'ANGELO,TE,3,781
2020-07-24,67031,NERETO,TE,8,616
2020-07-24,67032,NOTARESCO,TE,14,559
2020-07-24,67033,PENNA SANT'ANDREA,TE,7,143
2020-07-24,67035,PINETO,TE,63,1716
2020-07-24,67037,ROSETO DEGLI ABRUZZI,TE,29,1822
2020-07-24,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,561
2020-07-24,67039,SANT'OMERO,TE,1,714
2020-07-24,67040,SILVI,TE,17,1238
2020-07-24,67041,TERAMO,TE,185,9515
2020-07-24,67043,TORRICELLA SICURA,TE,19,360
2020-07-24,67044,TORTORETO,TE,2,762
2020-07-24,67045,TOSSICIA,TE,2,124
2020-07-24,67046,VALLE CASTELLANA,TE,3,35
2020-07-24,67002,ANCARANO,TE,0,119
2020-07-24,67010,CASTEL CASTAGNA,TE,0,33
2020-07-24,67020,CONTROGUERRA,TE,0,139
2020-07-24,67022,CORTINO,TE,0,53
2020-07-24,67023,CROGNALETO,TE,0,83
2020-07-24,67024,FANO ADRIANO,TE,0,21
2020-07-24,67034,PIETRACAMELA,TE,0,20
2020-07-24,67036,ROCCA SANTA MARIA,TE,0,36
2020-07-24,67042,TORANO NUOVO,TE,0,96
