AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-11-12,67001,ALBA ADRIATICA,TE,135,1834
2020-11-12,67002,ANCARANO,TE,5,236
2020-11-12,67003,ARSITA,TE,24,233
2020-11-12,67004,ATRI,TE,275,4336
2020-11-12,67005,BASCIANO,TE,26,548
2020-11-12,67006,BELLANTE,TE,136,1676
2020-11-12,67007,BISENTI,TE,104,716
2020-11-12,67008,CAMPLI,TE,77,1828
2020-11-12,67009,CANZANO,TE,18,373
2020-11-12,67010,CASTEL CASTAGNA,TE,7,76
2020-11-12,67011,CASTELLALTO,TE,162,1879
2020-11-12,67012,CASTELLI,TE,41,271
2020-11-12,67013,CASTIGLIONE MESSER RAIMONDO,TE,109,1007
2020-11-12,67014,CASTILENTI,TE,73,647
2020-11-12,67015,CELLINO ATTANASIO,TE,43,480
2020-11-12,67016,CERMIGNANO,TE,25,372
2020-11-12,67017,CIVITELLA DEL TRONTO,TE,71,1114
2020-11-12,67018,COLLEDARA,TE,47,457
2020-11-12,67019,COLONNELLA,TE,80,422
2020-11-12,67020,CONTROGUERRA,TE,35,342
2020-11-12,67021,CORROPOLI,TE,50,791
2020-11-12,67022,CORTINO,TE,3,136
2020-11-12,67023,CROGNALETO,TE,113,490
2020-11-12,67024,FANO ADRIANO,TE,6,58
2020-11-12,67025,GIULIANOVA,TE,413,6173
2020-11-12,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,282,1425
2020-11-12,67047,MARTINSICURO,TE,225,1915
2020-11-12,67027,MONTEFINO,TE,37,314
2020-11-12,67028,MONTORIO AL VOMANO,TE,559,2898
2020-11-12,67029,MORRO D'ORO,TE,30,603
2020-11-12,67030,MOSCIANO SANT'ANGELO,TE,96,1882
2020-11-12,67031,NERETO,TE,60,1298
2020-11-12,67032,NOTARESCO,TE,82,1321
2020-11-12,67033,PENNA SANT'ANDREA,TE,21,333
2020-11-12,67034,PIETRACAMELA,TE,2,48
2020-11-12,67035,PINETO,TE,289,3470
2020-11-12,67036,ROCCA SANTA MARIA,TE,26,248
2020-11-12,67037,ROSETO DEGLI ABRUZZI,TE,246,4227
2020-11-12,67038,SANT'EGIDIO ALLA VIBRATA,TE,142,1418
2020-11-12,67039,SANT'OMERO,TE,72,1534
2020-11-12,67040,SILVI,TE,178,2493
2020-11-12,67041,TERAMO,TE,1099,21510
2020-11-12,67042,TORANO NUOVO,TE,39,352
2020-11-12,67043,TORRICELLA SICURA,TE,66,826
2020-11-12,67044,TORTORETO,TE,120,1791
2020-11-12,67045,TOSSICIA,TE,43,365
2020-11-12,67046,VALLE CASTELLANA,TE,21,102
