ASL_RICHIEDENTE,DATA_ARRIVO,IN_CORSO,ESAMINATI,TOTALE,AGGIORNAMENTO
AQ,2021-03-16,1,0,1,2021-03-17
TE,2021-02-26,100,1164,1264,2021-03-17
TE,2021-03-01,92,701,793,2021-03-17
TE,2021-03-06,1,1214,1215,2021-03-17
TE,2021-03-12,2,1099,1101,2021-03-17
TE,2021-03-15,7,872,879,2021-03-17
TE,2021-03-16,582,326,908,2021-03-17
TE,2021-03-17,1,0,1,2021-03-17
AQ,2020-03-17,0,1,1,2021-03-17
AQ,2020-03-19,0,1,1,2021-03-17
AQ,2020-03-21,0,1,1,2021-03-17
AQ,2020-03-22,0,3,3,2021-03-17
AQ,2020-03-25,0,1,1,2021-03-17
AQ,2020-03-27,0,5,5,2021-03-17
AQ,2020-03-28,0,1,1,2021-03-17
AQ,2020-03-30,0,1,1,2021-03-17
AQ,2020-03-31,0,4,4,2021-03-17
AQ,2020-04-01,0,3,3,2021-03-17
AQ,2020-04-03,0,2,2,2021-03-17
AQ,2020-04-04,0,1,1,2021-03-17
AQ,2020-04-08,0,2,2,2021-03-17
AQ,2020-04-09,0,2,2,2021-03-17
AQ,2020-04-10,0,1,1,2021-03-17
AQ,2020-04-11,0,1,1,2021-03-17
AQ,2020-04-15,0,1,1,2021-03-17
AQ,2020-04-16,0,1,1,2021-03-17
AQ,2020-04-17,0,1,1,2021-03-17
AQ,2020-04-18,0,2,2,2021-03-17
AQ,2020-04-20,0,3,3,2021-03-17
AQ,2020-04-21,0,1,1,2021-03-17
AQ,2020-04-22,0,1,1,2021-03-17
AQ,2020-04-28,0,1,1,2021-03-17
AQ,2020-04-29,0,2,2,2021-03-17
AQ,2020-05-01,0,3,3,2021-03-17
AQ,2020-05-02,0,1,1,2021-03-17
AQ,2020-05-07,0,1,1,2021-03-17
AQ,2020-05-08,0,1,1,2021-03-17
AQ,2020-05-10,0,3,3,2021-03-17
AQ,2020-05-12,0,1,1,2021-03-17
AQ,2020-05-13,0,1,1,2021-03-17
AQ,2020-05-14,0,2,2,2021-03-17
AQ,2020-05-16,0,1,1,2021-03-17
AQ,2020-05-17,0,1,1,2021-03-17
AQ,2020-05-19,0,3,3,2021-03-17
AQ,2020-05-21,0,1,1,2021-03-17
AQ,2020-05-22,0,3,3,2021-03-17
AQ,2020-05-23,0,1,1,2021-03-17
AQ,2020-05-24,0,3,3,2021-03-17
AQ,2020-05-25,0,3,3,2021-03-17
AQ,2020-05-26,0,4,4,2021-03-17
AQ,2020-05-27,0,6,6,2021-03-17
AQ,2020-05-28,0,3,3,2021-03-17
AQ,2020-05-30,0,1,1,2021-03-17
AQ,2020-06-01,0,1,1,2021-03-17
AQ,2020-06-03,0,2,2,2021-03-17
AQ,2020-06-04,0,2,2,2021-03-17
AQ,2020-06-08,0,1,1,2021-03-17
AQ,2020-06-09,0,2,2,2021-03-17
AQ,2020-06-10,0,1,1,2021-03-17
AQ,2020-06-11,0,1,1,2021-03-17
AQ,2020-06-12,0,4,4,2021-03-17
AQ,2020-06-15,0,2,2,2021-03-17
AQ,2020-06-16,0,2,2,2021-03-17
AQ,2020-06-17,0,3,3,2021-03-17
AQ,2020-06-18,0,1,1,2021-03-17
AQ,2020-06-19,0,2,2,2021-03-17
AQ,2020-06-20,0,4,4,2021-03-17
AQ,2020-06-22,0,4,4,2021-03-17
AQ,2020-06-23,0,1,1,2021-03-17
AQ,2020-06-24,0,3,3,2021-03-17
AQ,2020-06-25,0,2,2,2021-03-17
AQ,2020-06-26,0,1,1,2021-03-17
AQ,2020-06-29,0,1,1,2021-03-17
AQ,2020-06-30,0,1,1,2021-03-17
AQ,2020-07-01,0,1,1,2021-03-17
AQ,2020-07-02,0,3,3,2021-03-17
AQ,2020-07-03,0,1,1,2021-03-17
AQ,2020-07-04,0,6,6,2021-03-17
AQ,2020-07-06,0,5,5,2021-03-17
AQ,2020-07-07,0,2,2,2021-03-17
AQ,2020-07-08,0,1,1,2021-03-17
AQ,2020-07-09,0,4,4,2021-03-17
AQ,2020-07-10,0,1,1,2021-03-17
AQ,2020-07-11,0,2,2,2021-03-17
AQ,2020-07-13,0,1,1,2021-03-17
AQ,2020-07-14,0,2,2,2021-03-17
AQ,2020-07-15,0,2,2,2021-03-17
AQ,2020-07-17,0,5,5,2021-03-17
AQ,2020-07-18,0,2,2,2021-03-17
AQ,2020-07-20,0,4,4,2021-03-17
AQ,2020-07-21,0,2,2,2021-03-17
AQ,2020-07-22,0,1,1,2021-03-17
AQ,2020-07-23,0,4,4,2021-03-17
AQ,2020-07-25,0,1,1,2021-03-17
AQ,2020-07-28,0,2,2,2021-03-17
AQ,2020-07-30,0,1,1,2021-03-17
AQ,2020-07-31,0,1,1,2021-03-17
AQ,2020-08-03,0,2,2,2021-03-17
AQ,2020-08-04,0,3,3,2021-03-17
AQ,2020-08-11,0,1,1,2021-03-17
AQ,2020-08-12,0,1,1,2021-03-17
AQ,2020-08-13,0,1,1,2021-03-17
AQ,2020-08-14,0,1,1,2021-03-17
AQ,2020-08-19,0,3,3,2021-03-17
AQ,2020-08-20,0,2,2,2021-03-17
AQ,2020-08-21,0,3,3,2021-03-17
AQ,2020-08-22,0,3,3,2021-03-17
AQ,2020-08-24,0,3,3,2021-03-17
AQ,2020-08-26,0,1,1,2021-03-17
AQ,2020-08-27,0,1,1,2021-03-17
AQ,2020-08-28,0,2,2,2021-03-17
AQ,2020-08-31,0,1,1,2021-03-17
AQ,2020-09-02,0,4,4,2021-03-17
