AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-11-25,67001,ALBA ADRIATICA,TE,193,2045
2020-11-25,67002,ANCARANO,TE,11,256
2020-11-25,67003,ARSITA,TE,27,247
2020-11-25,67004,ATRI,TE,411,4850
2020-11-25,67005,BASCIANO,TE,61,693
2020-11-25,67006,BELLANTE,TE,211,1934
2020-11-25,67007,BISENTI,TE,111,778
2020-11-25,67008,CAMPLI,TE,134,2030
2020-11-25,67009,CANZANO,TE,35,422
2020-11-25,67010,CASTEL CASTAGNA,TE,26,95
2020-11-25,67011,CASTELLALTO,TE,289,2394
2020-11-25,67012,CASTELLI,TE,58,328
2020-11-25,67013,CASTIGLIONE MESSER RAIMONDO,TE,113,1071
2020-11-25,67014,CASTILENTI,TE,90,692
2020-11-25,67015,CELLINO ATTANASIO,TE,56,575
2020-11-25,67016,CERMIGNANO,TE,34,430
2020-11-25,67017,CIVITELLA DEL TRONTO,TE,184,1245
2020-11-25,67018,COLLEDARA,TE,72,544
2020-11-25,67019,COLONNELLA,TE,98,458
2020-11-25,67020,CONTROGUERRA,TE,48,376
2020-11-25,67021,CORROPOLI,TE,88,896
2020-11-25,67022,CORTINO,TE,8,160
2020-11-25,67023,CROGNALETO,TE,130,642
2020-11-25,67024,FANO ADRIANO,TE,8,67
2020-11-25,67025,GIULIANOVA,TE,680,7031
2020-11-25,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,378,1835
2020-11-25,67047,MARTINSICURO,TE,342,2234
2020-11-25,67027,MONTEFINO,TE,45,352
2020-11-25,67028,MONTORIO AL VOMANO,TE,751,3559
2020-11-25,67029,MORRO D'ORO,TE,90,705
2020-11-25,67030,MOSCIANO SANT'ANGELO,TE,195,2168
2020-11-25,67031,NERETO,TE,71,1445
2020-11-25,67032,NOTARESCO,TE,167,1489
2020-11-25,67033,PENNA SANT'ANDREA,TE,42,388
2020-11-25,67034,PIETRACAMELA,TE,2,52
2020-11-25,67035,PINETO,TE,453,3878
2020-11-25,67036,ROCCA SANTA MARIA,TE,42,276
2020-11-25,67037,ROSETO DEGLI ABRUZZI,TE,439,4916
2020-11-25,67038,SANT'EGIDIO ALLA VIBRATA,TE,187,1555
2020-11-25,67039,SANT'OMERO,TE,111,1671
2020-11-25,67040,SILVI,TE,320,2877
2020-11-25,67041,TERAMO,TE,1868,24385
2020-11-25,67042,TORANO NUOVO,TE,45,387
2020-11-25,67043,TORRICELLA SICURA,TE,113,1110
2020-11-25,67044,TORTORETO,TE,179,2018
2020-11-25,67045,TOSSICIA,TE,63,451
2020-11-25,67046,VALLE CASTELLANA,TE,29,118
