AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-06-10,67001,ALBA ADRIATICA,TE,20,512
2020-06-10,67003,ARSITA,TE,5,99
2020-06-10,67004,ATRI,TE,86,1650
2020-06-10,67005,BASCIANO,TE,3,158
2020-06-10,67006,BELLANTE,TE,10,452
2020-06-10,67007,BISENTI,TE,15,309
2020-06-10,67008,CAMPLI,TE,8,548
2020-06-10,67009,CANZANO,TE,2,92
2020-06-10,67011,CASTELLALTO,TE,6,508
2020-06-10,67012,CASTELLI,TE,2,55
2020-06-10,67013,CASTIGLIONE MESSER RAIMONDO,TE,84,738
2020-06-10,67014,CASTILENTI,TE,62,451
2020-06-10,67015,CELLINO ATTANASIO,TE,13,168
2020-06-10,67016,CERMIGNANO,TE,10,125
2020-06-10,67017,CIVITELLA DEL TRONTO,TE,1,319
2020-06-10,67018,COLLEDARA,TE,1,129
2020-06-10,67019,COLONNELLA,TE,19,104
2020-06-10,67021,CORROPOLI,TE,1,218
2020-06-10,67025,GIULIANOVA,TE,31,1956
2020-06-10,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,394
2020-06-10,67047,MARTINSICURO,TE,10,488
2020-06-10,67027,MONTEFINO,TE,25,199
2020-06-10,67028,MONTORIO AL VOMANO,TE,9,686
2020-06-10,67029,MORRO D'ORO,TE,1,176
2020-06-10,67030,MOSCIANO SANT'ANGELO,TE,3,542
2020-06-10,67031,NERETO,TE,8,487
2020-06-10,67032,NOTARESCO,TE,14,410
2020-06-10,67033,PENNA SANT'ANDREA,TE,7,101
2020-06-10,67035,PINETO,TE,60,1302
2020-06-10,67037,ROSETO DEGLI ABRUZZI,TE,29,1282
2020-06-10,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,398
2020-06-10,67039,SANT'OMERO,TE,1,540
2020-06-10,67040,SILVI,TE,16,814
2020-06-10,67041,TERAMO,TE,185,7104
2020-06-10,67043,TORRICELLA SICURA,TE,19,272
2020-06-10,67044,TORTORETO,TE,2,592
2020-06-10,67045,TOSSICIA,TE,2,85
2020-06-10,67046,VALLE CASTELLANA,TE,3,32
2020-06-10,67002,ANCARANO,TE,0,75
2020-06-10,67010,CASTEL CASTAGNA,TE,0,26
2020-06-10,67020,CONTROGUERRA,TE,0,92
2020-06-10,67022,CORTINO,TE,0,41
2020-06-10,67023,CROGNALETO,TE,0,58
2020-06-10,67024,FANO ADRIANO,TE,0,15
2020-06-10,67034,PIETRACAMELA,TE,0,15
2020-06-10,67036,ROCCA SANTA MARIA,TE,0,29
2020-06-10,67042,TORANO NUOVO,TE,0,68
