AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-01-30,67001,ALBA ADRIATICA,TE,351,2941
2021-01-30,67002,ANCARANO,TE,105,405
2021-01-30,67003,ARSITA,TE,49,330
2021-01-30,67004,ATRI,TE,587,6579
2021-01-30,67005,BASCIANO,TE,170,1181
2021-01-30,67006,BELLANTE,TE,369,2675
2021-01-30,67007,BISENTI,TE,132,956
2021-01-30,67008,CAMPLI,TE,371,3130
2021-01-30,67009,CANZANO,TE,117,744
2021-01-30,67010,CASTEL CASTAGNA,TE,42,157
2021-01-30,67011,CASTELLALTO,TE,515,3437
2021-01-30,67012,CASTELLI,TE,84,439
2021-01-30,67013,CASTIGLIONE MESSER RAIMONDO,TE,120,1183
2021-01-30,67014,CASTILENTI,TE,134,827
2021-01-30,67015,CELLINO ATTANASIO,TE,184,863
2021-01-30,67016,CERMIGNANO,TE,205,853
2021-01-30,67017,CIVITELLA DEL TRONTO,TE,404,1990
2021-01-30,67018,COLLEDARA,TE,117,820
2021-01-30,67019,COLONNELLA,TE,200,719
2021-01-30,67020,CONTROGUERRA,TE,87,581
2021-01-30,67021,CORROPOLI,TE,166,1355
2021-01-30,67022,CORTINO,TE,40,250
2021-01-30,67023,CROGNALETO,TE,206,876
2021-01-30,67024,FANO ADRIANO,TE,11,106
2021-01-30,67025,GIULIANOVA,TE,1328,10177
2021-01-30,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,449,2446
2021-01-30,67047,MARTINSICURO,TE,720,3332
2021-01-30,67027,MONTEFINO,TE,69,441
2021-01-30,67028,MONTORIO AL VOMANO,TE,952,4922
2021-01-30,67029,MORRO D'ORO,TE,239,1215
2021-01-30,67030,MOSCIANO SANT'ANGELO,TE,410,3230
2021-01-30,67031,NERETO,TE,223,2141
2021-01-30,67032,NOTARESCO,TE,338,2210
2021-01-30,67033,PENNA SANT'ANDREA,TE,87,675
2021-01-30,67034,PIETRACAMELA,TE,3,70
2021-01-30,67035,PINETO,TE,670,5328
2021-01-30,67036,ROCCA SANTA MARIA,TE,55,371
2021-01-30,67037,ROSETO DEGLI ABRUZZI,TE,946,7397
2021-01-30,67038,SANT'EGIDIO ALLA VIBRATA,TE,359,2303
2021-01-30,67039,SANT'OMERO,TE,210,2304
2021-01-30,67040,SILVI,TE,591,4464
2021-01-30,67041,TERAMO,TE,3067,36475
2021-01-30,67042,TORANO NUOVO,TE,73,526
2021-01-30,67043,TORRICELLA SICURA,TE,173,1600
2021-01-30,67044,TORTORETO,TE,384,3152
2021-01-30,67045,TOSSICIA,TE,98,605
2021-01-30,67046,VALLE CASTELLANA,TE,36,161
