AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-07-12,67001,ALBA ADRIATICA,TE,25,666
2020-07-12,67003,ARSITA,TE,5,105
2020-07-12,67004,ATRI,TE,86,2056
2020-07-12,67005,BASCIANO,TE,3,219
2020-07-12,67006,BELLANTE,TE,10,592
2020-07-12,67007,BISENTI,TE,15,373
2020-07-12,67008,CAMPLI,TE,8,716
2020-07-12,67009,CANZANO,TE,2,135
2020-07-12,67011,CASTELLALTO,TE,6,739
2020-07-12,67012,CASTELLI,TE,2,79
2020-07-12,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,771
2020-07-12,67014,CASTILENTI,TE,62,486
2020-07-12,67015,CELLINO ATTANASIO,TE,13,219
2020-07-12,67016,CERMIGNANO,TE,10,159
2020-07-12,67017,CIVITELLA DEL TRONTO,TE,1,401
2020-07-12,67018,COLLEDARA,TE,1,168
2020-07-12,67019,COLONNELLA,TE,22,141
2020-07-12,67021,CORROPOLI,TE,1,276
2020-07-12,67025,GIULIANOVA,TE,31,2733
2020-07-12,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,482
2020-07-12,67047,MARTINSICURO,TE,14,699
2020-07-12,67027,MONTEFINO,TE,25,223
2020-07-12,67028,MONTORIO AL VOMANO,TE,9,883
2020-07-12,67029,MORRO D'ORO,TE,1,256
2020-07-12,67030,MOSCIANO SANT'ANGELO,TE,3,730
2020-07-12,67031,NERETO,TE,8,592
2020-07-12,67032,NOTARESCO,TE,14,530
2020-07-12,67033,PENNA SANT'ANDREA,TE,7,131
2020-07-12,67035,PINETO,TE,62,1646
2020-07-12,67037,ROSETO DEGLI ABRUZZI,TE,29,1704
2020-07-12,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,521
2020-07-12,67039,SANT'OMERO,TE,1,677
2020-07-12,67040,SILVI,TE,16,1176
2020-07-12,67041,TERAMO,TE,185,8977
2020-07-12,67043,TORRICELLA SICURA,TE,19,345
2020-07-12,67044,TORTORETO,TE,2,723
2020-07-12,67045,TOSSICIA,TE,2,115
2020-07-12,67046,VALLE CASTELLANA,TE,3,35
2020-07-12,67002,ANCARANO,TE,0,112
2020-07-12,67010,CASTEL CASTAGNA,TE,0,32
2020-07-12,67020,CONTROGUERRA,TE,0,132
2020-07-12,67022,CORTINO,TE,0,50
2020-07-12,67023,CROGNALETO,TE,0,74
2020-07-12,67024,FANO ADRIANO,TE,0,20
2020-07-12,67034,PIETRACAMELA,TE,0,19
2020-07-12,67036,ROCCA SANTA MARIA,TE,0,36
2020-07-12,67042,TORANO NUOVO,TE,0,92
