AGGIORNAMENTO,DATA_TAMPONE,PROVINCIA,POSITIVI,NEGATIVI,DA_RIPETERE
2020-12-07,2020-03-14,CH,2,3,0
2020-12-07,2020-03-14,PE,14,18,3
2020-12-07,2020-03-14,TE,9,11,1
2020-12-07,2020-03-16,AQ,2,0,0
2020-12-07,2020-03-16,CH,1,2,0
2020-12-07,2020-03-16,PE,1,10,0
2020-12-07,2020-03-16,TE,10,69,0
2020-12-07,2020-03-17,AQ,5,10,1
2020-12-07,2020-03-17,CH,8,21,1
2020-12-07,2020-03-17,PE,33,45,4
2020-12-07,2020-03-17,TE,20,57,0
2020-12-07,2020-03-18,AQ,3,5,0
2020-12-07,2020-03-18,CH,8,1,0
2020-12-07,2020-03-18,PE,12,15,4
2020-12-07,2020-03-18,TE,18,63,2
2020-12-07,2020-03-19,AQ,7,15,1
2020-12-07,2020-03-19,TE,18,48,1
2020-12-07,2020-03-20,AQ,5,20,2
2020-12-07,2020-03-20,TE,28,124,9
2020-12-07,2020-03-21,AQ,4,29,0
2020-12-07,2020-03-21,PE,1,1,0
2020-12-07,2020-03-21,TE,18,76,2
2020-12-07,2020-03-22,AQ,2,6,0
2020-12-07,2020-03-22,PE,1,0,0
2020-12-07,2020-03-22,TE,15,31,1
2020-12-07,2020-03-23,AQ,13,41,1
2020-12-07,2020-03-23,CH,3,24,6
2020-12-07,2020-03-23,TE,61,115,16
2020-12-07,2020-03-24,AQ,10,21,3
2020-12-07,2020-03-24,CH,1,84,0
2020-12-07,2020-03-24,PE,8,168,5
2020-12-07,2020-03-24,TE,68,169,8
2020-12-07,2020-03-25,AQ,2,53,2
2020-12-07,2020-03-25,CH,2,45,0
2020-12-07,2020-03-25,TE,18,137,1
2020-12-07,2020-03-26,AQ,6,46,5
2020-12-07,2020-03-26,CH,2,19,0
2020-12-07,2020-03-26,PE,1,13,1
2020-12-07,2020-03-26,TE,32,261,10
2020-12-07,2020-03-27,AQ,17,45,1
2020-12-07,2020-03-27,PE,2,9,0
2020-12-07,2020-03-27,TE,14,393,8
2020-12-07,2020-03-28,AQ,12,28,6
2020-12-07,2020-03-28,PE,3,7,2
2020-12-07,2020-03-28,TE,10,174,4
2020-12-07,2020-03-29,AQ,3,10,1
2020-12-07,2020-03-29,TE,14,67,5
2020-12-07,2020-03-30,AQ,18,79,6
2020-12-07,2020-03-30,PE,1,21,0
2020-12-07,2020-03-30,TE,21,480,6
2020-12-07,2020-03-31,AQ,34,130,16
2020-12-07,2020-03-31,CH,3,11,0
2020-12-07,2020-03-31,PE,3,6,3
2020-12-07,2020-03-31,TE,31,178,14
2020-12-07,2020-04-01,AQ,2,89,3
2020-12-07,2020-04-01,PE,1,41,3
2020-12-07,2020-04-01,TE,29,440,24
2020-12-07,2020-04-02,AQ,11,99,8
2020-12-07,2020-04-02,TE,27,406,24
2020-12-07,2020-04-03,AQ,8,90,4
2020-12-07,2020-04-03,TE,21,347,5
2020-12-07,2020-04-04,AQ,6,103,3
2020-12-07,2020-04-04,TE,22,95,5
2020-12-07,2020-04-05,TE,6,34,0
2020-12-07,2020-04-06,AQ,9,162,3
2020-12-07,2020-04-06,PE,10,97,1
2020-12-07,2020-04-06,TE,4,74,4
2020-12-07,2020-04-07,AQ,14,130,4
2020-12-07,2020-04-07,CH,6,90,1
2020-12-07,2020-04-07,PE,7,79,5
2020-12-07,2020-04-07,TE,32,264,8
2020-12-07,2020-04-08,AQ,11,134,2
2020-12-07,2020-04-08,CH,3,77,1
2020-12-07,2020-04-08,TE,18,337,4
2020-12-07,2020-04-09,AQ,6,91,1
2020-12-07,2020-04-09,PE,3,25,0
2020-12-07,2020-04-09,TE,23,547,6
2020-12-07,2020-04-10,AQ,13,146,1
2020-12-07,2020-04-10,PE,2,18,1
2020-12-07,2020-04-10,TE,14,629,6
2020-12-07,2020-04-11,AQ,1,54,0
2020-12-07,2020-04-11,TE,14,430,2
2020-12-07,2020-04-12,AQ,1,9,0
2020-12-07,2020-04-13,PE,2,24,2
2020-12-07,2020-04-13,TE,3,79,6
2020-12-07,2020-04-14,AQ,9,171,8
2020-12-07,2020-04-14,CH,1,11,1
2020-12-07,2020-04-14,TE,12,382,9
2020-12-07,2020-04-15,AQ,8,147,4
2020-12-07,2020-04-15,CH,6,140,2
2020-12-07,2020-04-15,PE,1,18,0
2020-12-07,2020-04-15,TE,6,325,9
2020-12-07,2020-04-16,AQ,3,135,8
2020-12-07,2020-04-16,CH,4,329,1
2020-12-07,2020-04-16,PE,1,35,0
2020-12-07,2020-04-16,TE,9,677,14
2020-12-07,2020-04-17,AQ,5,105,3
2020-12-07,2020-04-17,CH,4,475,2
2020-12-07,2020-04-17,PE,1,28,0
2020-12-07,2020-04-17,TE,4,426,4
2020-12-07,2020-04-18,AQ,6,92,3
2020-12-07,2020-04-18,CH,1,282,1
2020-12-07,2020-04-18,PE,2,14,0
2020-12-07,2020-04-18,TE,15,388,22
2020-12-07,2020-04-19,AQ,1,37,1
2020-12-07,2020-04-19,TE,6,31,0
2020-12-07,2020-04-20,AQ,5,185,0
2020-12-07,2020-04-20,CH,35,255,2
2020-12-07,2020-04-20,PE,12,61,2
2020-12-07,2020-04-20,TE,14,441,4
2020-12-07,2020-04-21,AQ,1,56,2
2020-12-07,2020-04-21,PE,1,13,0
2020-12-07,2020-04-21,TE,11,422,7
2020-12-07,2020-04-22,AQ,5,171,6
2020-12-07,2020-04-22,TE,7,382,8
2020-12-07,2020-04-23,AQ,2,118,5
2020-12-07,2020-04-23,CH,10,371,6
2020-12-07,2020-04-23,PE,1,102,1
2020-12-07,2020-04-23,TE,3,429,3
2020-12-07,2020-04-24,AQ,6,84,2
2020-12-07,2020-04-24,CH,3,118,3
2020-12-07,2020-04-24,TE,9,485,7
2020-12-07,2020-04-25,AQ,1,51,3
2020-12-07,2020-04-25,CH,3,183,1
2020-12-07,2020-04-25,TE,1,83,1
2020-12-07,2020-04-26,AQ,1,29,0
2020-12-07,2020-04-26,CH,5,108,2
2020-12-07,2020-04-26,PE,1,1,0
2020-12-07,2020-04-26,TE,3,27,0
2020-12-07,2020-04-27,AQ,4,84,5
2020-12-07,2020-04-27,CH,9,161,5
2020-12-07,2020-04-27,PE,2,58,0
2020-12-07,2020-04-27,TE,14,398,8
2020-12-07,2020-04-28,AQ,5,137,2
2020-12-07,2020-04-28,CH,3,136,2
2020-12-07,2020-04-28,PE,1,18,0
2020-12-07,2020-04-28,TE,4,519,3
2020-12-07,2020-04-29,AQ,7,181,4
2020-12-07,2020-04-29,CH,5,186,12
2020-12-07,2020-04-29,PE,2,28,0
2020-12-07,2020-04-29,TE,10,533,21
2020-12-07,2020-04-30,CH,2,198,4
2020-12-07,2020-04-30,PE,3,27,0
2020-12-07,2020-04-30,TE,7,386,2
2020-12-07,2020-05-01,AQ,1,27,0
2020-12-07,2020-05-01,CH,4,137,3
2020-12-07,2020-05-02,AQ,3,46,3
2020-12-07,2020-05-02,CH,1,225,2
2020-12-07,2020-05-02,TE,6,393,6
2020-12-07,2020-05-03,CH,2,47,5
2020-12-07,2020-05-03,PE,1,3,0
2020-12-07,2020-05-03,TE,2,30,0
2020-12-07,2020-05-04,AQ,3,118,1
2020-12-07,2020-05-04,CH,3,175,2
2020-12-07,2020-05-04,PE,2,29,0
2020-12-07,2020-05-04,TE,3,418,6
2020-12-07,2020-05-05,AQ,3,116,1
2020-12-07,2020-05-05,CH,2,84,4
2020-12-07,2020-05-05,TE,9,474,8
2020-12-07,2020-05-06,AQ,1,224,0
2020-12-07,2020-05-06,CH,4,176,8
2020-12-07,2020-05-06,PE,2,28,0
2020-12-07,2020-05-06,TE,3,479,8
2020-12-07,2020-05-07,CH,2,130,2
2020-12-07,2020-05-07,TE,5,571,2
2020-12-07,2020-05-08,AQ,2,535,0
2020-12-07,2020-05-08,CH,1,218,1
2020-12-07,2020-05-08,TE,2,624,6
2020-12-07,2020-05-09,CH,7,123,6
2020-12-07,2020-05-09,PE,1,56,0
2020-12-07,2020-05-09,TE,1,281,2
