AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-08-28,67001,ALBA ADRIATICA,TE,29,928
2020-08-28,67003,ARSITA,TE,5,117
2020-08-28,67004,ATRI,TE,86,2519
2020-08-28,67005,BASCIANO,TE,3,271
2020-08-28,67006,BELLANTE,TE,10,775
2020-08-28,67007,BISENTI,TE,15,440
2020-08-28,67008,CAMPLI,TE,8,969
2020-08-28,67009,CANZANO,TE,2,166
2020-08-28,67011,CASTELLALTO,TE,6,953
2020-08-28,67012,CASTELLI,TE,2,95
2020-08-28,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,816
2020-08-28,67014,CASTILENTI,TE,62,520
2020-08-28,67015,CELLINO ATTANASIO,TE,16,285
2020-08-28,67016,CERMIGNANO,TE,10,206
2020-08-28,67017,CIVITELLA DEL TRONTO,TE,34,581
2020-08-28,67018,COLLEDARA,TE,1,210
2020-08-28,67019,COLONNELLA,TE,27,203
2020-08-28,67020,CONTROGUERRA,TE,5,221
2020-08-28,67021,CORROPOLI,TE,4,385
2020-08-28,67025,GIULIANOVA,TE,39,3481
2020-08-28,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,575
2020-08-28,67047,MARTINSICURO,TE,24,1029
2020-08-28,67027,MONTEFINO,TE,25,240
2020-08-28,67028,MONTORIO AL VOMANO,TE,9,1096
2020-08-28,67029,MORRO D'ORO,TE,1,325
2020-08-28,67030,MOSCIANO SANT'ANGELO,TE,3,955
2020-08-28,67031,NERETO,TE,15,748
2020-08-28,67032,NOTARESCO,TE,14,683
2020-08-28,67033,PENNA SANT'ANDREA,TE,7,169
2020-08-28,67034,PIETRACAMELA,TE,1,25
2020-08-28,67035,PINETO,TE,64,1966
2020-08-28,67037,ROSETO DEGLI ABRUZZI,TE,30,2250
2020-08-28,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,678
2020-08-28,67039,SANT'OMERO,TE,4,891
2020-08-28,67040,SILVI,TE,18,1443
2020-08-28,67041,TERAMO,TE,197,11443
2020-08-28,67042,TORANO NUOVO,TE,2,134
2020-08-28,67043,TORRICELLA SICURA,TE,19,418
2020-08-28,67044,TORTORETO,TE,5,972
2020-08-28,67045,TOSSICIA,TE,2,140
2020-08-28,67046,VALLE CASTELLANA,TE,3,39
2020-08-28,67002,ANCARANO,TE,0,136
2020-08-28,67010,CASTEL CASTAGNA,TE,0,41
2020-08-28,67022,CORTINO,TE,0,65
2020-08-28,67023,CROGNALETO,TE,0,133
2020-08-28,67024,FANO ADRIANO,TE,0,26
2020-08-28,67036,ROCCA SANTA MARIA,TE,0,42
