AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-08-27,67001,ALBA ADRIATICA,TE,29,922
2020-08-27,67003,ARSITA,TE,5,116
2020-08-27,67004,ATRI,TE,86,2498
2020-08-27,67005,BASCIANO,TE,3,268
2020-08-27,67006,BELLANTE,TE,10,762
2020-08-27,67007,BISENTI,TE,15,437
2020-08-27,67008,CAMPLI,TE,8,961
2020-08-27,67009,CANZANO,TE,2,162
2020-08-27,67011,CASTELLALTO,TE,6,932
2020-08-27,67012,CASTELLI,TE,2,94
2020-08-27,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,816
2020-08-27,67014,CASTILENTI,TE,62,516
2020-08-27,67015,CELLINO ATTANASIO,TE,16,282
2020-08-27,67016,CERMIGNANO,TE,10,203
2020-08-27,67017,CIVITELLA DEL TRONTO,TE,34,576
2020-08-27,67018,COLLEDARA,TE,1,208
2020-08-27,67019,COLONNELLA,TE,27,203
2020-08-27,67020,CONTROGUERRA,TE,5,220
2020-08-27,67021,CORROPOLI,TE,4,383
2020-08-27,67025,GIULIANOVA,TE,39,3450
2020-08-27,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,573
2020-08-27,67047,MARTINSICURO,TE,24,1022
2020-08-27,67027,MONTEFINO,TE,25,239
2020-08-27,67028,MONTORIO AL VOMANO,TE,9,1083
2020-08-27,67029,MORRO D'ORO,TE,1,322
2020-08-27,67030,MOSCIANO SANT'ANGELO,TE,3,946
2020-08-27,67031,NERETO,TE,15,744
2020-08-27,67032,NOTARESCO,TE,14,680
2020-08-27,67033,PENNA SANT'ANDREA,TE,7,167
2020-08-27,67034,PIETRACAMELA,TE,1,25
2020-08-27,67035,PINETO,TE,64,1952
2020-08-27,67037,ROSETO DEGLI ABRUZZI,TE,30,2231
2020-08-27,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,673
2020-08-27,67039,SANT'OMERO,TE,4,880
2020-08-27,67040,SILVI,TE,18,1427
2020-08-27,67041,TERAMO,TE,197,11324
2020-08-27,67042,TORANO NUOVO,TE,2,133
2020-08-27,67043,TORRICELLA SICURA,TE,19,414
2020-08-27,67044,TORTORETO,TE,5,968
2020-08-27,67045,TOSSICIA,TE,2,139
2020-08-27,67046,VALLE CASTELLANA,TE,3,39
2020-08-27,67002,ANCARANO,TE,0,134
2020-08-27,67010,CASTEL CASTAGNA,TE,0,39
2020-08-27,67022,CORTINO,TE,0,65
2020-08-27,67023,CROGNALETO,TE,0,131
2020-08-27,67024,FANO ADRIANO,TE,0,26
2020-08-27,67036,ROCCA SANTA MARIA,TE,0,42
