AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-04-01,67001,ALBA ADRIATICA,TE,4,35
2020-04-01,67003,ARSITA,TE,2,4
2020-04-01,67004,ATRI,TE,47,225
2020-04-01,67005,BASCIANO,TE,2,18
2020-04-01,67006,BELLANTE,TE,4,43
2020-04-01,67007,BISENTI,TE,3,22
2020-04-01,67008,CAMPLI,TE,3,61
2020-04-01,67009,CANZANO,TE,1,7
2020-04-01,67011,CASTELLALTO,TE,4,47
2020-04-01,67012,CASTELLI,TE,1,2
2020-04-01,67013,CASTIGLIONE MESSER RAIMONDO,TE,58,166
2020-04-01,67014,CASTILENTI,TE,38,141
2020-04-01,67015,CELLINO ATTANASIO,TE,8,16
2020-04-01,67016,CERMIGNANO,TE,6,12
2020-04-01,67017,CIVITELLA DEL TRONTO,TE,1,9
2020-04-01,67019,COLONNELLA,TE,3,5
2020-04-01,67021,CORROPOLI,TE,1,18
2020-04-01,67025,GIULIANOVA,TE,11,123
2020-04-01,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,6,105
2020-04-01,67027,MONTEFINO,TE,16,62
2020-04-01,67028,MONTORIO AL VOMANO,TE,3,54
2020-04-01,67029,MORRO D'ORO,TE,1,11
2020-04-01,67030,MOSCIANO SANT'ANGELO,TE,2,53
2020-04-01,67031,NERETO,TE,4,46
2020-04-01,67032,NOTARESCO,TE,14,34
2020-04-01,67035,PINETO,TE,41,115
2020-04-01,67037,ROSETO DEGLI ABRUZZI,TE,11,117
2020-04-01,67038,SANT'EGIDIO ALLA VIBRATA,TE,2,30
2020-04-01,67040,SILVI,TE,9,49
2020-04-01,67041,TERAMO,TE,85,982
2020-04-01,67043,TORRICELLA SICURA,TE,7,31
2020-04-01,67044,TORTORETO,TE,1,47
2020-04-01,67045,TOSSICIA,TE,2,6
2020-04-01,67046,VALLE CASTELLANA,TE,2,3
2020-04-01,67002,ANCARANO,TE,0,2
2020-04-01,67010,CASTEL CASTAGNA,TE,0,2
2020-04-01,67018,COLLEDARA,TE,0,13
2020-04-01,67020,CONTROGUERRA,TE,0,4
2020-04-01,67022,CORTINO,TE,0,4
2020-04-01,67023,CROGNALETO,TE,0,1
2020-04-01,67024,FANO ADRIANO,TE,0,2
2020-04-01,67047,MARTINSICURO,TE,0,16
2020-04-01,67033,PENNA SANT'ANDREA,TE,0,8
2020-04-01,67034,PIETRACAMELA,TE,0,2
2020-04-01,67036,ROCCA SANTA MARIA,TE,0,3
2020-04-01,67039,SANT'OMERO,TE,0,35
2020-04-01,67042,TORANO NUOVO,TE,0,3
