AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-04-21,67001,ALBA ADRIATICA,TE,11,134
2020-04-21,67003,ARSITA,TE,2,47
2020-04-21,67004,ATRI,TE,74,667
2020-04-21,67005,BASCIANO,TE,3,51
2020-04-21,67006,BELLANTE,TE,5,138
2020-04-21,67007,BISENTI,TE,14,129
2020-04-21,67008,CAMPLI,TE,7,159
2020-04-21,67009,CANZANO,TE,2,30
2020-04-21,67011,CASTELLALTO,TE,4,131
2020-04-21,67012,CASTELLI,TE,2,8
2020-04-21,67013,CASTIGLIONE MESSER RAIMONDO,TE,75,354
2020-04-21,67014,CASTILENTI,TE,46,253
2020-04-21,67015,CELLINO ATTANASIO,TE,14,70
2020-04-21,67016,CERMIGNANO,TE,11,30
2020-04-21,67017,CIVITELLA DEL TRONTO,TE,1,116
2020-04-21,67018,COLLEDARA,TE,1,33
2020-04-21,67019,COLONNELLA,TE,11,22
2020-04-21,67021,CORROPOLI,TE,1,58
2020-04-21,67025,GIULIANOVA,TE,25,641
2020-04-21,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,6,141
2020-04-21,67047,MARTINSICURO,TE,7,96
2020-04-21,67027,MONTEFINO,TE,21,86
2020-04-21,67028,MONTORIO AL VOMANO,TE,9,213
2020-04-21,67030,MOSCIANO SANT'ANGELO,TE,4,152
2020-04-21,67031,NERETO,TE,6,115
2020-04-21,67032,NOTARESCO,TE,15,116
2020-04-21,67033,PENNA SANT'ANDREA,TE,4,30
2020-04-21,67035,PINETO,TE,47,452
2020-04-21,67037,ROSETO DEGLI ABRUZZI,TE,23,337
2020-04-21,67038,SANT'EGIDIO ALLA VIBRATA,TE,7,99
2020-04-21,67039,SANT'OMERO,TE,1,123
2020-04-21,67040,SILVI,TE,14,234
2020-04-21,67041,TERAMO,TE,156,2615
2020-04-21,67043,TORRICELLA SICURA,TE,11,91
2020-04-21,67044,TORTORETO,TE,1,143
2020-04-21,67045,TOSSICIA,TE,2,19
2020-04-21,67046,VALLE CASTELLANA,TE,3,12
2020-04-21,67002,ANCARANO,TE,0,12
2020-04-21,67010,CASTEL CASTAGNA,TE,0,7
2020-04-21,67020,CONTROGUERRA,TE,0,18
2020-04-21,67022,CORTINO,TE,0,13
2020-04-21,67023,CROGNALETO,TE,0,14
2020-04-21,67024,FANO ADRIANO,TE,0,3
2020-04-21,67029,MORRO D'ORO,TE,0,35
2020-04-21,67034,PIETRACAMELA,TE,0,5
2020-04-21,67036,ROCCA SANTA MARIA,TE,0,7
2020-04-21,67042,TORANO NUOVO,TE,0,17
