AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-11-02,67001,ALBA ADRIATICA,TE,90,1700
2020-11-02,67002,ANCARANO,TE,3,211
2020-11-02,67003,ARSITA,TE,13,176
2020-11-02,67004,ATRI,TE,206,3930
2020-11-02,67005,BASCIANO,TE,9,482
2020-11-02,67006,BELLANTE,TE,93,1510
2020-11-02,67007,BISENTI,TE,87,660
2020-11-02,67008,CAMPLI,TE,45,1667
2020-11-02,67009,CANZANO,TE,11,298
2020-11-02,67010,CASTEL CASTAGNA,TE,3,67
2020-11-02,67011,CASTELLALTO,TE,49,1666
2020-11-02,67012,CASTELLI,TE,25,189
2020-11-02,67013,CASTIGLIONE MESSER RAIMONDO,TE,101,974
2020-11-02,67014,CASTILENTI,TE,66,611
2020-11-02,67015,CELLINO ATTANASIO,TE,27,435
2020-11-02,67016,CERMIGNANO,TE,20,333
2020-11-02,67017,CIVITELLA DEL TRONTO,TE,59,1057
2020-11-02,67018,COLLEDARA,TE,26,394
2020-11-02,67019,COLONNELLA,TE,70,395
2020-11-02,67020,CONTROGUERRA,TE,29,318
2020-11-02,67021,CORROPOLI,TE,25,717
2020-11-02,67022,CORTINO,TE,2,125
2020-11-02,67023,CROGNALETO,TE,68,421
2020-11-02,67024,FANO ADRIANO,TE,5,41
2020-11-02,67025,GIULIANOVA,TE,274,5718
2020-11-02,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,187,1099
2020-11-02,67047,MARTINSICURO,TE,123,1716
2020-11-02,67027,MONTEFINO,TE,34,297
2020-11-02,67028,MONTORIO AL VOMANO,TE,335,2484
2020-11-02,67029,MORRO D'ORO,TE,13,540
2020-11-02,67030,MOSCIANO SANT'ANGELO,TE,53,1716
2020-11-02,67031,NERETO,TE,51,1224
2020-11-02,67032,NOTARESCO,TE,44,1211
2020-11-02,67033,PENNA SANT'ANDREA,TE,15,297
2020-11-02,67034,PIETRACAMELA,TE,2,44
2020-11-02,67035,PINETO,TE,181,3135
2020-11-02,67036,ROCCA SANTA MARIA,TE,25,242
2020-11-02,67037,ROSETO DEGLI ABRUZZI,TE,121,3831
2020-11-02,67038,SANT'EGIDIO ALLA VIBRATA,TE,115,1250
2020-11-02,67039,SANT'OMERO,TE,51,1430
2020-11-02,67040,SILVI,TE,111,2293
2020-11-02,67041,TERAMO,TE,646,19696
2020-11-02,67042,TORANO NUOVO,TE,36,315
2020-11-02,67043,TORRICELLA SICURA,TE,50,725
2020-11-02,67044,TORTORETO,TE,62,1631
2020-11-02,67045,TOSSICIA,TE,23,318
2020-11-02,67046,VALLE CASTELLANA,TE,6,69
