AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-06-04,67001,ALBA ADRIATICA,TE,762,5510
2021-06-04,67002,ANCARANO,TE,183,767
2021-06-04,67003,ARSITA,TE,67,415
2021-06-04,67004,ATRI,TE,800,8606
2021-06-04,67005,BASCIANO,TE,261,1657
2021-06-04,67006,BELLANTE,TE,536,4017
2021-06-04,67007,BISENTI,TE,175,1193
2021-06-04,67008,CAMPLI,TE,680,4781
2021-06-04,67009,CANZANO,TE,182,1293
2021-06-04,67010,CASTEL CASTAGNA,TE,57,210
2021-06-04,67011,CASTELLALTO,TE,740,4880
2021-06-04,67012,CASTELLI,TE,100,565
2021-06-04,67013,CASTIGLIONE MESSER RAIMONDO,TE,136,1349
2021-06-04,67014,CASTILENTI,TE,165,957
2021-06-04,67015,CELLINO ATTANASIO,TE,218,1174
2021-06-04,67016,CERMIGNANO,TE,213,1072
2021-06-04,67017,CIVITELLA DEL TRONTO,TE,544,3230
2021-06-04,67018,COLLEDARA,TE,141,1129
2021-06-04,67019,COLONNELLA,TE,376,1338
2021-06-04,67020,CONTROGUERRA,TE,133,1122
2021-06-04,67021,CORROPOLI,TE,304,2359
2021-06-04,67022,CORTINO,TE,42,323
2021-06-04,67023,CROGNALETO,TE,217,1069
2021-06-04,67024,FANO ADRIANO,TE,15,161
2021-06-04,67025,GIULIANOVA,TE,2144,15757
2021-06-04,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,491,3090
2021-06-04,67047,MARTINSICURO,TE,1371,6550
2021-06-04,67027,MONTEFINO,TE,82,569
2021-06-04,67028,MONTORIO AL VOMANO,TE,1081,6353
2021-06-04,67029,MORRO D'ORO,TE,417,1958
2021-06-04,67030,MOSCIANO SANT'ANGELO,TE,716,5494
2021-06-04,67031,NERETO,TE,472,3792
2021-06-04,67032,NOTARESCO,TE,557,3448
2021-06-04,67033,PENNA SANT'ANDREA,TE,125,966
2021-06-04,67034,PIETRACAMELA,TE,3,87
2021-06-04,67035,PINETO,TE,1039,7849
2021-06-04,67036,ROCCA SANTA MARIA,TE,70,490
2021-06-04,67037,ROSETO DEGLI ABRUZZI,TE,1711,12496
2021-06-04,67038,SANT'EGIDIO ALLA VIBRATA,TE,756,4455
2021-06-04,67039,SANT'OMERO,TE,393,3725
2021-06-04,67040,SILVI,TE,976,6619
2021-06-04,67041,TERAMO,TE,4479,52743
2021-06-04,67042,TORANO NUOVO,TE,122,885
2021-06-04,67043,TORRICELLA SICURA,TE,289,2343
2021-06-04,67044,TORTORETO,TE,819,6211
2021-06-04,67045,TOSSICIA,TE,115,846
2021-06-04,67046,VALLE CASTELLANA,TE,73,305
