AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-04-24,67001,ALBA ADRIATICA,TE,676,4858
2021-04-24,67002,ANCARANO,TE,150,628
2021-04-24,67003,ARSITA,TE,65,409
2021-04-24,67004,ATRI,TE,778,8397
2021-04-24,67005,BASCIANO,TE,240,1516
2021-04-24,67006,BELLANTE,TE,515,3745
2021-04-24,67007,BISENTI,TE,169,1143
2021-04-24,67008,CAMPLI,TE,624,4337
2021-04-24,67009,CANZANO,TE,154,1157
2021-04-24,67010,CASTEL CASTAGNA,TE,57,200
2021-04-24,67011,CASTELLALTO,TE,694,4499
2021-04-24,67012,CASTELLI,TE,85,513
2021-04-24,67013,CASTIGLIONE MESSER RAIMONDO,TE,132,1290
2021-04-24,67014,CASTILENTI,TE,165,943
2021-04-24,67015,CELLINO ATTANASIO,TE,209,1104
2021-04-24,67016,CERMIGNANO,TE,212,1022
2021-04-24,67017,CIVITELLA DEL TRONTO,TE,520,2850
2021-04-24,67018,COLLEDARA,TE,133,1047
2021-04-24,67019,COLONNELLA,TE,345,1171
2021-04-24,67020,CONTROGUERRA,TE,122,900
2021-04-24,67021,CORROPOLI,TE,275,2100
2021-04-24,67022,CORTINO,TE,42,299
2021-04-24,67023,CROGNALETO,TE,212,1029
2021-04-24,67024,FANO ADRIANO,TE,15,144
2021-04-24,67025,GIULIANOVA,TE,2023,14643
2021-04-24,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,484,2901
2021-04-24,67047,MARTINSICURO,TE,1238,5588
2021-04-24,67027,MONTEFINO,TE,78,538
2021-04-24,67028,MONTORIO AL VOMANO,TE,1047,5967
2021-04-24,67029,MORRO D'ORO,TE,400,1811
2021-04-24,67030,MOSCIANO SANT'ANGELO,TE,693,5090
2021-04-24,67031,NERETO,TE,455,3469
2021-04-24,67032,NOTARESCO,TE,530,3234
2021-04-24,67033,PENNA SANT'ANDREA,TE,116,888
2021-04-24,67034,PIETRACAMELA,TE,3,82
2021-04-24,67035,PINETO,TE,1019,7586
2021-04-24,67036,ROCCA SANTA MARIA,TE,61,456
2021-04-24,67037,ROSETO DEGLI ABRUZZI,TE,1627,11651
2021-04-24,67038,SANT'EGIDIO ALLA VIBRATA,TE,607,3550
2021-04-24,67039,SANT'OMERO,TE,360,3351
2021-04-24,67040,SILVI,TE,924,6387
2021-04-24,67041,TERAMO,TE,4230,48034
2021-04-24,67042,TORANO NUOVO,TE,113,793
2021-04-24,67043,TORRICELLA SICURA,TE,273,2055
2021-04-24,67044,TORTORETO,TE,714,5437
2021-04-24,67045,TOSSICIA,TE,104,766
2021-04-24,67046,VALLE CASTELLANA,TE,72,299
