AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-07-28,67001,ALBA ADRIATICA,TE,27,725
2020-07-28,67003,ARSITA,TE,5,106
2020-07-28,67004,ATRI,TE,86,2181
2020-07-28,67005,BASCIANO,TE,3,232
2020-07-28,67006,BELLANTE,TE,10,649
2020-07-28,67007,BISENTI,TE,15,389
2020-07-28,67008,CAMPLI,TE,8,778
2020-07-28,67009,CANZANO,TE,2,141
2020-07-28,67011,CASTELLALTO,TE,6,780
2020-07-28,67012,CASTELLI,TE,2,87
2020-07-28,67013,CASTIGLIONE MESSER RAIMONDO,TE,85,780
2020-07-28,67014,CASTILENTI,TE,62,497
2020-07-28,67015,CELLINO ATTANASIO,TE,16,242
2020-07-28,67016,CERMIGNANO,TE,10,170
2020-07-28,67017,CIVITELLA DEL TRONTO,TE,1,442
2020-07-28,67018,COLLEDARA,TE,1,177
2020-07-28,67019,COLONNELLA,TE,22,154
2020-07-28,67021,CORROPOLI,TE,1,302
2020-07-28,67025,GIULIANOVA,TE,31,2867
2020-07-28,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,502
2020-07-28,67047,MARTINSICURO,TE,17,791
2020-07-28,67027,MONTEFINO,TE,25,230
2020-07-28,67028,MONTORIO AL VOMANO,TE,9,926
2020-07-28,67029,MORRO D'ORO,TE,1,276
2020-07-28,67030,MOSCIANO SANT'ANGELO,TE,3,800
2020-07-28,67031,NERETO,TE,8,634
2020-07-28,67032,NOTARESCO,TE,14,566
2020-07-28,67033,PENNA SANT'ANDREA,TE,7,146
2020-07-28,67035,PINETO,TE,63,1738
2020-07-28,67037,ROSETO DEGLI ABRUZZI,TE,29,1844
2020-07-28,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,572
2020-07-28,67039,SANT'OMERO,TE,1,723
2020-07-28,67040,SILVI,TE,17,1247
2020-07-28,67041,TERAMO,TE,185,9618
2020-07-28,67043,TORRICELLA SICURA,TE,19,362
2020-07-28,67044,TORTORETO,TE,2,780
2020-07-28,67045,TOSSICIA,TE,2,125
2020-07-28,67046,VALLE CASTELLANA,TE,3,36
2020-07-28,67002,ANCARANO,TE,0,120
2020-07-28,67010,CASTEL CASTAGNA,TE,0,33
2020-07-28,67020,CONTROGUERRA,TE,0,140
2020-07-28,67022,CORTINO,TE,0,53
2020-07-28,67023,CROGNALETO,TE,0,84
2020-07-28,67024,FANO ADRIANO,TE,0,21
2020-07-28,67034,PIETRACAMELA,TE,0,20
2020-07-28,67036,ROCCA SANTA MARIA,TE,0,37
2020-07-28,67042,TORANO NUOVO,TE,0,100
