AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2021-04-25,67001,ALBA ADRIATICA,TE,677,4862
2021-04-25,67002,ANCARANO,TE,151,635
2021-04-25,67003,ARSITA,TE,65,409
2021-04-25,67004,ATRI,TE,778,8418
2021-04-25,67005,BASCIANO,TE,241,1524
2021-04-25,67006,BELLANTE,TE,515,3750
2021-04-25,67007,BISENTI,TE,169,1145
2021-04-25,67008,CAMPLI,TE,624,4355
2021-04-25,67009,CANZANO,TE,154,1160
2021-04-25,67010,CASTEL CASTAGNA,TE,57,200
2021-04-25,67011,CASTELLALTO,TE,694,4506
2021-04-25,67012,CASTELLI,TE,85,513
2021-04-25,67013,CASTIGLIONE MESSER RAIMONDO,TE,132,1290
2021-04-25,67014,CASTILENTI,TE,165,944
2021-04-25,67015,CELLINO ATTANASIO,TE,209,1105
2021-04-25,67016,CERMIGNANO,TE,212,1024
2021-04-25,67017,CIVITELLA DEL TRONTO,TE,520,2852
2021-04-25,67018,COLLEDARA,TE,133,1049
2021-04-25,67019,COLONNELLA,TE,345,1172
2021-04-25,67020,CONTROGUERRA,TE,122,901
2021-04-25,67021,CORROPOLI,TE,275,2103
2021-04-25,67022,CORTINO,TE,42,300
2021-04-25,67023,CROGNALETO,TE,212,1029
2021-04-25,67024,FANO ADRIANO,TE,15,144
2021-04-25,67025,GIULIANOVA,TE,2025,14677
2021-04-25,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,484,2904
2021-04-25,67047,MARTINSICURO,TE,1238,5594
2021-04-25,67027,MONTEFINO,TE,78,538
2021-04-25,67028,MONTORIO AL VOMANO,TE,1048,5979
2021-04-25,67029,MORRO D'ORO,TE,401,1813
2021-04-25,67030,MOSCIANO SANT'ANGELO,TE,693,5128
2021-04-25,67031,NERETO,TE,455,3470
2021-04-25,67032,NOTARESCO,TE,530,3239
2021-04-25,67033,PENNA SANT'ANDREA,TE,116,890
2021-04-25,67034,PIETRACAMELA,TE,3,82
2021-04-25,67035,PINETO,TE,1019,7595
2021-04-25,67036,ROCCA SANTA MARIA,TE,61,456
2021-04-25,67037,ROSETO DEGLI ABRUZZI,TE,1629,11722
2021-04-25,67038,SANT'EGIDIO ALLA VIBRATA,TE,609,3566
2021-04-25,67039,SANT'OMERO,TE,360,3362
2021-04-25,67040,SILVI,TE,924,6401
2021-04-25,67041,TERAMO,TE,4236,48122
2021-04-25,67042,TORANO NUOVO,TE,113,794
2021-04-25,67043,TORRICELLA SICURA,TE,274,2058
2021-04-25,67044,TORTORETO,TE,717,5453
2021-04-25,67045,TOSSICIA,TE,104,768
2021-04-25,67046,VALLE CASTELLANA,TE,72,299
