AGGIORNAMENTO,CODICE_ISTAT,COMUNE,PROVINCIA,POSITIVI,NEGATIVI
2020-05-17,67001,ALBA ADRIATICA,TE,16,317
2020-05-17,67003,ARSITA,TE,5,80
2020-05-17,67004,ATRI,TE,81,1276
2020-05-17,67005,BASCIANO,TE,3,104
2020-05-17,67006,BELLANTE,TE,8,295
2020-05-17,67007,BISENTI,TE,15,227
2020-05-17,67008,CAMPLI,TE,8,380
2020-05-17,67009,CANZANO,TE,2,59
2020-05-17,67011,CASTELLALTO,TE,5,318
2020-05-17,67012,CASTELLI,TE,2,40
2020-05-17,67013,CASTIGLIONE MESSER RAIMONDO,TE,83,643
2020-05-17,67014,CASTILENTI,TE,58,402
2020-05-17,67015,CELLINO ATTANASIO,TE,13,117
2020-05-17,67016,CERMIGNANO,TE,12,75
2020-05-17,67017,CIVITELLA DEL TRONTO,TE,1,187
2020-05-17,67018,COLLEDARA,TE,1,85
2020-05-17,67019,COLONNELLA,TE,16,59
2020-05-17,67021,CORROPOLI,TE,1,130
2020-05-17,67025,GIULIANOVA,TE,31,1247
2020-05-17,67026,ISOLA DEL GRAN SASSO D'ITALIA,TE,7,255
2020-05-17,67047,MARTINSICURO,TE,9,266
2020-05-17,67027,MONTEFINO,TE,24,163
2020-05-17,67028,MONTORIO AL VOMANO,TE,9,445
2020-05-17,67029,MORRO D'ORO,TE,1,97
2020-05-17,67030,MOSCIANO SANT'ANGELO,TE,5,357
2020-05-17,67031,NERETO,TE,7,289
2020-05-17,67032,NOTARESCO,TE,17,262
2020-05-17,67033,PENNA SANT'ANDREA,TE,7,68
2020-05-17,67035,PINETO,TE,59,923
2020-05-17,67037,ROSETO DEGLI ABRUZZI,TE,29,807
2020-05-17,67038,SANT'EGIDIO ALLA VIBRATA,TE,9,249
2020-05-17,67039,SANT'OMERO,TE,1,307
2020-05-17,67040,SILVI,TE,15,511
2020-05-17,67041,TERAMO,TE,180,4839
2020-05-17,67043,TORRICELLA SICURA,TE,16,192
2020-05-17,67044,TORTORETO,TE,2,392
2020-05-17,67045,TOSSICIA,TE,2,50
2020-05-17,67046,VALLE CASTELLANA,TE,3,27
2020-05-17,67002,ANCARANO,TE,0,41
2020-05-17,67010,CASTEL CASTAGNA,TE,0,18
2020-05-17,67020,CONTROGUERRA,TE,0,49
2020-05-17,67022,CORTINO,TE,0,26
2020-05-17,67023,CROGNALETO,TE,0,33
2020-05-17,67024,FANO ADRIANO,TE,0,7
2020-05-17,67034,PIETRACAMELA,TE,0,9
2020-05-17,67036,ROCCA SANTA MARIA,TE,0,20
2020-05-17,67042,TORANO NUOVO,TE,0,42
