data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_istat,denominazione_comune,lat,long,totale_casi
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66047,Goriano Sicoli,42.072105383023334,13.771599281258530,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66048,Introdacqua,41.997880280119844,13.893260288097341,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66049,L'Aquila,42.393341382148087,13.424788697069678,5
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66050,Lecce nei Marsi,41.893943180776063,13.686312388230597,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66051,Luco dei Marsi,41.955029876219136,13.477286188957816,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66052,Lucoli,42.250895715959686,13.372381639029573,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66053,Magliano de' Marsi,42.126274387924163,13.337147896872558,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66054,Massa d'Albe,42.120862507078854,13.422271637961165,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66055,Molina Aterno,42.150176675051931,13.747987820336203,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66056,Montereale,42.530171437147530,13.227780138443535,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66057,Morino,41.842636747317322,13.442824684957802,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66058,Navelli,42.237418909335716,13.731991375865062,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66059,Ocre,42.278929492519460,13.466723745178822,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66060,Ofena,42.332603267461984,13.757182608075180,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66061,Opi,41.771427724853865,13.854713392939814,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66062,Oricola,42.066659662328320,13.043383979408638,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66063,Ortona dei Marsi,42.001489106879326,13.728790464551878,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66064,Ortucchio,41.948680874073496,13.620466396151517,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66065,Ovindoli,42.133399305062419,13.514147628716541,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66066,Pacentro,42.054780776378394,14.026962222883940,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66067,Pereto,42.052309049536646,13.128598234248367,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66068,Pescasseroli,41.809643105083886,13.791441229523368,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66069,Pescina,42.010180188208892,13.646157595136312,3
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66070,Pescocostanzo,41.918420416099629,14.056540124053990,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66071,Pettorano sul Gizio,41.967387235474071,13.946978506704790,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66072,Pizzoli,42.450317892110156,13.332629141878297,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66073,Poggio Picenze,42.317289139351487,13.540322825004550,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66074,Prata d'Ansidonia,42.273270468797271,13.619949555402185,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66075,Pratola Peligna,42.098872022970951,13.897029190574996,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66076,Prezza,42.057367963270309,13.835959329712416,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66077,Raiano,42.099995116431117,13.809756323881881,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66078,Rivisondoli,41.862692269152610,14.043606880469623,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66079,Roccacasale,42.129007519163423,13.890464033735194,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66080,Rocca di Botte,42.021951169148785,13.114494753617651,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66081,Rocca di Cambio,42.229250776575626,13.473888456139699,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66082,Rocca di Mezzo,42.196763702554009,13.508783290514996,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66083,Rocca Pia,41.905301605393092,13.986950049088108,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66084,Roccaraso,41.837481849387679,14.078161056142388,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66085,San Benedetto dei Marsi,42.006678251049848,13.603000375513664,1
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66086,San Benedetto in Perillis,42.179665279892092,13.775057041707818,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66087,San Demetrio ne' Vestini,42.284100886370354,13.555415940464799,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66088,San Pio delle Camere,42.290337603843874,13.649248428211491,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66089,Sante Marie,42.118541219684374,13.210681308426947,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66090,Sant'Eusanio Forconese,42.283493163998067,13.514908705910933,0
2020-03-19 18:00:00,ITA,13,Abruzzo,66,L'Aquila,AQ,66091,Santo Stefano di Sessanio,42.375420365925166,13.647434740095820,0
